serie,T,model,t create,t optim,rmse train,rmse test,mase test,status
1,170,model1_sm,-1,0.3455179,209714.54676214908,207969.22378356336,2.4638309500307964,LOCALLY_SOLVED
2,170,model1_sm,-1,0.1902075,425812.8674928584,1.36474816127821e6,3.6118118380722923,LOCALLY_SOLVED
3,170,model1_sm,-1,1.1008331,81107.88900952574,237695.69646370286,1.514680744039078,LOCALLY_SOLVED
4,170,model1_sm,-1,0.5972639,11.572089076948059,35.19584207929946,0.08920774010457597,LOCALLY_SOLVED
5,170,model1_sm,-1,0.5955045,887.0677326096326,2051.4414476647808,2.5477816540758664,LOCALLY_SOLVED
6,170,model1_sm,-1,0.4730167,2679.154565961258,3814.3436112984405,1.2531773289354164,LOCALLY_SOLVED
7,170,model1_sm,-1,0.2198128,2.499264224605724e6,5.467712996329847e6,1.5430733308902553,LOCALLY_SOLVED
8,170,model1_sm,-1,0.669762,155.6683929582918,127.68867613836322,1.5018206917589991,LOCALLY_SOLVED
9,170,model1_sm,-1,0.5796435,2609.9390507370063,1947.8163623513747,0.49966553939304237,LOCALLY_SOLVED
10,170,model1_sm,-1,0.5724216,145.41861815012254,47.41982434771787,0.024839189135290277,LOCALLY_SOLVED
11,170,model1_sm,-1,0.22386,274100.1573847474,304377.6255317448,0.7892112897244686,LOCALLY_SOLVED
12,170,model1_sm,-1,0.4492132,330.7085122340963,427.3438778561083,0.2446182504449214,LOCALLY_SOLVED
13,170,model1_sm,-1,0.3953826,44.706729227585996,54.45744192511925,0.08768372316582998,LOCALLY_SOLVED
14,170,model1_sm,-1,0.522248,9.370228810490756,42.262597659115016,0.22103917620110608,LOCALLY_SOLVED
15,170,model1_sm,-1,0.2044321,30.49049552021094,59.709680030235624,0.026050519886521035,LOCALLY_SOLVED
16,170,model1_sm,-1,0.2165617,6.119646863878124e6,8.213851829124364e6,1.9813461219669122,LOCALLY_SOLVED
17,170,model1_sm,-1,0.1806836,9206.592569613806,11526.290602758563,1.6564414948435717,LOCALLY_SOLVED
18,170,model1_sm,-1,0.183396,83802.35014544272,163797.58817654665,2.4396346027797184,LOCALLY_SOLVED
19,170,model1_sm,-1,0.1815114,644395.372548712,1.6338603446691209e6,2.4243018241715375,LOCALLY_SOLVED
20,170,model1_sm,-1,0.4474968,821.224905826272,608.6107226590434,0.58289452421241,LOCALLY_SOLVED
21,170,model1_sm,-1,0.1859011,40995.88655052098,67689.30900879507,1.8377920115824014,LOCALLY_SOLVED
22,170,model1_sm,-1,0.7313695,6.28685482499297e-5,7.129606455935842,0.006175194207145737,LOCALLY_SOLVED
23,170,model1_sm,-1,0.5913468,209.2762069573889,43.951743435194935,0.03177191269346705,LOCALLY_SOLVED
24,170,model1_sm,-1,0.5149254,11.572089076948059,35.19584207929946,0.08920774010457597,LOCALLY_SOLVED
25,170,model1_sm,-1,0.2311517,30.49049552021094,59.709680030235624,0.026050519886521035,LOCALLY_SOLVED
26,170,model1_sm,-1,0.1496588,644395.372548712,1.6338603446691209e6,2.4243018241715375,LOCALLY_SOLVED
27,170,model1_sm,-1,0.5111081,6412.556759950997,6680.591798651849,0.9323642396326941,LOCALLY_SOLVED
28,170,model1_sm,-1,0.4759601,57.872380905621874,43.78591924079977,0.15433534325717627,LOCALLY_SOLVED
29,170,model1_sm,-1,0.6824834,81107.88900952574,237695.69646370286,1.514680744039078,LOCALLY_SOLVED
30,170,model1_sm,-1,0.279938,45.11816709415539,38.886948198300864,0.012716217203312851,LOCALLY_SOLVED
31,170,model1_sm,-1,0.753761,201.94486639391687,397.3731798097179,0.30582829063654654,LOCALLY_SOLVED
32,170,model1_sm,-1,0.8540601,578.8862378941169,1017.2866649210383,0.5987127708225766,LOCALLY_SOLVED
33,170,model1_sm,-1,0.4984227,11.572089076948059,35.19584207929946,0.08920774010457597,LOCALLY_SOLVED
34,170,model1_sm,-1,1.7190611,1646.0065302435848,12501.181613185812,4.9334485719696275,LOCALLY_SOLVED
35,170,model1_sm,-1,0.1996903,16.84031070187634,25.362163009796244,0.025100546177318786,LOCALLY_SOLVED
36,170,model1_sm,-1,0.3987822,2679.154565961258,3814.3436112984405,1.2531773289354164,LOCALLY_SOLVED
37,170,model1_sm,-1,0.4563114,330.7085122340963,427.3438778561083,0.2446182504449214,LOCALLY_SOLVED
38,170,model1_sm,-1,0.2071695,30.49049552021094,59.709680030235624,0.026050519886521035,LOCALLY_SOLVED
39,170,model1_sm,-1,0.576622,155.6683929582918,127.68867613836322,1.5018206917589991,LOCALLY_SOLVED
40,170,model1_sm,-1,0.3137211,18.235585301499036,27.36014714114018,0.01962100533508234,LOCALLY_SOLVED
41,170,model1_sm,-1,0.4787076,116.12425188742222,123.58674328436024,0.09506730376413894,LOCALLY_SOLVED
42,170,model1_sm,-1,0.2959863,1028.892380675222,951.0419914973924,0.6721405106957825,LOCALLY_SOLVED
43,170,model1_sm,-1,0.6100164,249.3652866904642,214.55650020812507,0.1679116219901949,LOCALLY_SOLVED
44,170,model1_sm,-1,0.5568926,4800.2900187146015,18453.058929670933,7.3407248154455695,LOCALLY_SOLVED
45,170,model1_sm,-1,0.1515952,425812.8674928584,1.36474816127821e6,3.6118118380722923,LOCALLY_SOLVED
46,170,model1_sm,-1,0.6272958,209.2762069573889,43.951743435194935,0.03177191269346705,LOCALLY_SOLVED
47,170,model1_sm,-1,0.1188757,2.9865138534648736e-6,1.6521399266132176e8,6.000566490601059,NORM_LIMIT
48,170,model1_sm,-1,0.4330658,184.96596402999774,237.28148157714017,1.4854611033289087,LOCALLY_SOLVED
