x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
1.6978731102462504e7,-653.7152401747334,-633.5479418167527,2.3791521368965805e6,813777.5569295861,-1314.0209649381754,-11235.767702352452,-680.275842572832,-811.0935855833128,25699.29932069672,-35441.18396358734,-45035.31133127718,-2036.0885423738396,-164274.53469536314,960.4510171414778,-1664.0806982874917,22367.51584058126,-700.3279675974933,-777.6514189248588,7884.153313455487,-1467.6953017524665,4369.751732127289,-925.7684728935087,-533.0552447480549,-124006.61648410554,-1151.5588928006946,-829.0231865624926,-1271.1581470533072,-377.70748319123527,-28456.349287487203,995.2850387108122,-7003.617177484232,347779.2835634539,-856.4516845847029,-402.91200100800035,-169.63862499689287,-90402.42319671069,2510.6044732285036,-37294.995031963204,3557.0606364196838,-10470.114593071272,807.2473205923899,703.4878237899113,209.1819373816152,153626.05494164626,-855.1791447529331,-674.2504062555773,-2284.079532327971,206.1445932975087,360.0111658109464,-3.510924796479012e7,-6014.622522626868,1223.5155218353036,12152.721357597264,-838.7206684939352,3034.9734767965347,-612.7324474511311,298726.4116442168,-1104.2179310515094,-1006.53852525483,-484.40574594451095,-2403.371360914689,268.5602424519408,6782.837841607141,-13870.583728958027,1122.3574026041902,9298.784722193583,-10186.922683934978,2043.7873715591443,117066.36601183543,17920.783790160356,-1598.0163212879122,-231.24945589447358,1292.710790499788,-352.1839510976303,-921.0548609334037,-32443.403829143554,-6787.581014527463,-2415.4318241185088,1660.6756168151624,-2087.67260559064,-814.2296222602981,-1116.6622887348515,-16711.911612948337,-304059.60896451876,5964.028163360991,-39195.18259765718,1362.7374567578843,1642.0355164729594,3664.205189974426,-1.1182367827769865e6,440.13709306065897,-3799.837335669878,1852.2082346342486,-380.00537859298726,228456.8047714546,-1320.0147795030146,868.9313383119054,-5151.060579174486,-1533.5594853476418
1.5917175077794792e7,-415.50013267752104,-697.4659875603651,3.484531713273304e6,942793.3886441492,-1729.5962166630609,-38947.953008990604,-540.0999283738038,-877.5311221325638,63764.11643834952,-64035.9102556801,51900.48569163549,11239.358588215717,-35333.548729489936,1205.0270375139364,-2345.7366834206337,-6707.516161508022,-1679.0025642900596,-441.6145560861536,8936.589508272276,-1232.8079463040776,4897.553831696188,-1024.1896805088222,-894.028485245389,-153447.51923886684,-1365.2583250554012,-1454.3454175157005,-1708.998174839436,-501.23834176005266,-25831.96401805086,-1613.9080585387062,-7413.721300799794,354616.9395373881,-348.51783454224665,-805.3508065687568,-1282.3082192260567,-46155.61754870851,2145.5464611426573,40012.77333146871,320.2058696102656,-5404.731766811913,1302.0305055496542,60.81963825806015,5528.690704336374,815126.5786094827,-770.9444199825613,-286.55420790272655,-1940.3002251277246,404.17093321351246,294.09131966216125,1.0086644142031664e7,-10112.904788211477,1224.5343724928816,10687.665039864223,-504.28194919962954,3665.86298665904,1509.4163887726734,330598.5808509141,-899.8372747686866,-1448.4595759324818,-3063.2160246674575,-4151.3486607219,588.794646389008,7769.271937748822,-15859.90576579084,781.0412037318665,23333.140102249083,-9917.015576275928,2578.6349961648193,17864.10305257838,15169.404673299483,-1777.6170649966568,-1421.8557497092913,1868.0142968287241,1110.8437703321479,-839.6090341959817,-38548.30538141082,-9491.125015898406,-2682.2166923883346,1729.4794570114782,-1918.6720949207047,-1601.0841544976442,-1336.6250090187907,-19236.1177072097,-340868.7298602292,2912.3993614589554,6926.361467282533,1736.1539744888769,2144.0404987225643,4908.524997158821,1.306033093239124e6,439.6597373671823,-4482.030497240175,2973.8695741607817,-608.5998781900926,158436.89613114586,-1588.5149507971882,529.5093515456992,8664.46046977741,-1710.8770047081357
1.7320922527844965e7,-608.645794755155,-1121.9128235032952,3.4423265432234383e6,1.3182879888886488e6,-1692.2708744042975,-28805.67192525838,-271.13617766456576,-1150.3253115355137,-92452.2926581079,-74479.94657527754,47323.49401697169,-7271.333949779826,-26274.853286958718,1359.178019495823,-3160.7342871661467,29741.326123810264,-1700.9365440873123,-670.2471261068755,9463.638234991073,-1050.5504292139349,5242.2256220078825,-1044.1549138223104,-1002.5723438100225,-175390.93689816762,-1304.1296714274463,-1414.2624772416875,-2092.65404276481,206.73351233143325,14874.023752577437,-1037.847594916962,-6863.846818434149,433549.8695986459,-1459.7750057781036,-741.0697310347678,-2626.992800120887,102451.96015483313,2387.5828410690574,41181.72888058083,1836.3541874181444,-8682.471911289113,470.21898690201124,811.8226752977067,-17146.971158162283,-497220.3487529084,-987.8505493601513,-386.9639464685176,-2466.5577272829446,314.3122727347131,420.30474979444955,-6.305509425304593e7,-11925.158984759728,929.1188770911725,3922.0361613146442,-759.6318718324274,4254.723742619977,1267.6841742348702,351235.1237907547,-992.7418726432032,-1453.0931620136014,1706.2840058325935,-3964.440025760496,595.9334305486619,9119.530418415019,-18458.150365655485,67.05153480198678,3978.5834438600455,-9030.259103837285,2342.291007268897,-94524.47742758757,9285.347572066368,-2422.667008910561,-1137.9876986963607,854.9075345289956,898.7293748344617,-1339.1153522751968,-44130.82330743309,-9014.846986579596,-3715.4808647256655,2096.697659599822,-2275.935867486621,-3049.9387021724883,-105.67200486690946,-22168.270164727597,-374493.3137669331,1562.4550056228697,-28036.002631067582,1621.2940827493842,2662.8592762897847,4416.955398424773,-659174.0199226505,717.9991344053626,-3823.520447545706,1841.3224117432035,-299.9259661905457,-266794.0449519206,-1766.7222875879957,680.9901495969434,154.5046516365876,-1892.535543935783
1.5320092580234753e7,-568.7869622918217,-1195.532271818413,3.2665679661003235e6,1.944324134150643e6,-1895.2977803390277,-34630.47155148341,-1150.642864223667,-2435.2225092190497,66219.27684696803,-57269.58856708025,59250.62004739922,-8298.603130569558,-141247.2287106562,1420.4224677456855,-3676.016180132399,16708.590293598943,-2037.3289973309172,-752.9307353334685,10016.497406692988,-941.9222239958426,5345.383423023075,-1237.1463702732394,-825.7396847192313,-188185.69018953963,-1358.1242759538961,-1394.4949611660295,-2685.537463767978,-294.0826445691783,-33294.06812643606,-347.6118005159865,-5900.7333986516405,432291.2029394458,-259.0362320881103,-1046.3723974265101,-650.0628737381147,-177577.77171554026,2955.491976718287,145.2930787489804,3518.7296739110716,-3383.336842543223,752.5339679972861,4.920968351557004,912.253627273255,-556644.2557990616,-667.5037529265401,-575.6975885603521,-2147.252153512295,394.92457935224115,414.3872963647432,-7.910390795960482e6,-12709.363985446756,1459.5449291212146,1018.7291402668586,-722.5301583000461,4706.546235040729,3641.7047612632423,381825.3479971679,-1286.1512365498163,-1455.1526664915477,2586.8612083524704,-3722.6938045376623,232.2711867835985,10880.852723251426,-21184.510096990045,1119.490392321938,-1926.332623780664,-8480.866423317511,2802.948060671529,14318.684809978131,13014.924754018963,-1890.8800910027344,-1151.6232319587098,2013.0933778349813,-823.7304059747089,-989.725968062458,-49039.25944555246,-10941.24488911075,-3999.214950318322,2166.0595067101203,-2520.016084025142,-4102.685460553447,-1236.536756198481,-26291.953664891025,-403311.7379965181,2453.70686708591,3490.771288791142,1418.8197105635893,3086.4104863300563,4502.802932243495,1.2824355905687555e6,1652.559728431052,-3128.726735849708,2792.035709016428,-312.3250670221674,-521068.52367476554,-1620.0303822221551,-106.12799175758305,6242.578741887967,-1831.2748790148378
1.108481510077669e7,27.500963434256718,-1045.0391848485654,3.1767081679669064e6,1.8604173936189166e6,-1921.563111654548,-7626.404097241876,-1026.9532223995857,-1625.6124207100318,100750.16853136224,-75634.02798245156,-40278.40498440882,8018.174946695469,29222.429065632034,1543.093571237338,-4523.528190164117,12865.528286781157,-1303.3619102547639,-709.8303782688201,10633.86827068931,-1687.977555206973,4456.2515617346535,-1654.092665197274,-1015.0040486937686,-205934.97709503042,-1524.5269161850943,-1346.2740607371313,-2999.0032334313823,-41.961509844955245,18804.67892103148,-2538.103972925341,-5814.164317278205,406180.0148960041,-2158.680838201747,-396.4529396514427,-3602.4739120029653,1261.441225008853,2628.3527175013346,38743.927595443914,2151.742661385723,-4840.049283355741,869.4048543126696,261.92443492007953,20780.873491397266,82319.78831698332,-1023.1492105919723,-492.8494216113691,-2597.4156252215002,880.4461867431776,682.7421234763407,3.2790084017163295e7,-12185.609912874937,1364.0730690615153,-2919.5454990155204,-960.1037223764342,5935.818082284298,1989.9297818033363,404584.0039372277,-1408.1513775860608,-1751.9146841239497,-1915.400438089768,-4415.544137634786,807.1542859851432,12140.16140722004,-23697.009285792254,527.6414719056892,-28044.35183679075,-8663.487464161979,3207.8913290964456,94301.16124544445,13319.486154826358,-2932.6575085276163,-835.1855123753687,3292.7204564562317,375.62097355213047,-1221.3400936619007,-55463.84656424747,-11169.991363877474,-4548.193577672605,2366.1046263291623,-2784.889838902221,-4109.917228107669,-1313.4212975641901,-26739.089022473272,-418451.1602450853,7510.54002148465,-14218.183787317235,1855.738062307936,4909.632913696356,4882.54414122578,314258.1647869199,548.418909785872,-2730.380886076522,3237.5210823172,-156.42701840974772,-54925.48062870181,-1969.84503316806,-700.698312287642,1020.8694860226262,-1961.4372262303239
1.7216833798051696e7,-844.7163148066036,-1001.8796345520575,3.264401628665897e6,1.5412510487304293e6,-2542.302897980232,-14763.159446460493,-1434.6846377202683,-1707.290739048508,36247.11854568684,-66950.94517878653,28912.08702271239,-920.188170403191,228121.74417136077,1934.7642547322064,-4617.936873472791,10576.220173877193,-2177.0099133891213,-1014.9904134136259,10791.862509627197,-1029.0305795379718,5098.0107795911235,-997.1005992456138,-814.080312466941,-208726.63419025653,-1406.2240982211645,-1714.0067892721975,-3352.275851520311,-368.82981977660654,-5774.21155058115,-3461.092042533096,-6162.888896428436,402202.34035593603,-1270.5927850284365,-1190.4957451405076,-2265.9589922772366,-75035.52841897277,3178.22727425215,16929.088250093304,2735.6567421006807,-7936.962457789894,1482.8752006346929,608.1229635758151,-21428.93039299259,-700890.3680204677,-568.5409606639998,-998.1036336217204,-2686.836750479451,217.53663025416168,268.97031779004607,9.419249967194326e6,-12616.906163684855,1368.0787793460058,-804.973775183387,-1009.3469797222054,6873.788421210984,1024.1459279193564,419362.5621953217,-1507.0462387788593,-1928.4599728656074,1132.9646549360132,-4837.762966877731,819.0150376753289,13280.529586899624,-26731.902922717385,807.7839781469231,-4629.349267593286,-8189.477670482098,3420.759297645371,-7259.243060514703,14937.902247241012,-3216.273276731469,-1262.873116824858,-519.4650111176563,805.7855458015637,-1335.2452949687438,-60458.49987245235,-12010.100496474357,-4611.5326307929345,2349.3827255162123,-3179.995517379893,-2002.0066125559888,-1035.9386188432093,-28580.846940091582,-437930.90979774884,4727.12530796088,-23731.26968861811,1718.9642616144936,4515.022429465013,5210.582475388026,-158642.19178036368,1135.4389015949203,-1667.9868098795944,4713.977115761948,-172.08346121962842,152402.7313305963,-2055.286660096094,-1436.3492238645968,-7293.954451706585,-1973.6235507689255
2.4201143660492603e7,-375.5297282894003,-1546.2065127190917,3.522623855494378e6,1.7503340393699114e6,-2417.9979645228736,24765.188678722825,-1448.7032614853786,-3616.4817066795945,19236.841863430393,-45216.07820912687,-101263.16421577134,-2746.4849582247616,69391.18527264548,1418.3991027133584,-5266.093697559412,-8025.588434197591,-1386.0790829173957,-742.2136395172894,10891.60277782062,-1362.846768093019,5337.19652601105,-2244.248966213494,-1097.4945402723024,-214089.4618303138,-1912.5382596454717,-1878.574889352892,-3487.0554996921596,-356.805590121314,13897.385089533034,144.26319894572038,-6474.301201522829,399064.0505521924,-2246.897664099324,-1034.173296358458,-3283.3384975426884,222021.10968655077,2867.4064593011094,-22393.25436335958,2139.4587929323084,-11282.691530911548,1234.8941295460245,236.78482381667297,35487.900272305575,-1.1614705641929111e6,-1423.451635749737,-969.5774993820602,-2701.943651867123,1413.0768726504964,544.2354115584346,-3.950134059758763e7,-10900.061888763083,1093.1775067448839,5467.836709735559,-1173.9646084832316,7036.963517317869,-3119.804216356837,430350.87529392814,-1479.0852910715216,-2060.5446802878487,-509.3201544173022,-4510.128972809067,689.3397743671225,14798.057444385899,-28939.02144080471,423.70537373077207,-9030.320863176586,-9821.250982803618,3286.7898008250518,33937.11487465062,14113.556510557477,-3032.6710636133953,-606.6524572183595,1231.4824198863232,2280.113305454362,-1563.2794819799167,-65624.30116084714,-13943.822572461631,-4578.619014828196,1886.05762280489,-3371.095716117593,-3372.3913044366864,-857.2763700905676,-31668.1417579946,-461557.0489246017,-8930.482390295107,2414.9470337522725,1916.5856738019531,4182.085018422671,4541.165354637285,-729014.2554096577,248.89292252245636,-1413.626898483536,4350.357957125921,206.3032592443316,-45838.793781715845,-2497.8482842316917,-2234.0897780301766,7973.90544518768,-2180.968897978952
2.2793804541613203e7,-840.0956959309402,-1147.8339565763865,2.9827123041734383e6,2.259998890606236e6,-2788.2672445458234,14973.667459935126,-1442.889597844397,-1824.9148152371768,37771.720904818874,-40791.873524144095,-14857.70517200998,-3707.9796883658837,156371.31192918232,2157.5184821655034,-5402.218080714961,10605.440471038724,-2310.8127818500416,-1235.9953093377449,11530.063081393308,-1142.9710844942483,4399.59355552889,-1230.4624609719672,-937.7982322560233,-216724.93473718688,-1607.088077153507,-1926.8733094759436,-3761.8061405854355,-381.00564103050516,-28058.477616290827,-211.3737158428676,-6285.380879515053,363003.7262818676,-618.8444328793153,-1263.4711913163917,-935.0566386765508,-99008.10511622057,3217.603520309444,-806.8164163506401,2609.9686441199274,-9571.619976517286,1352.497647041102,656.6887441373293,1235.0035399344517,649307.8117196147,-644.7818829863012,-1288.4801364687314,-2796.8375213712666,432.8309168876435,343.4916973495319,-3.940624322120175e7,-11471.62046994668,1502.311587317961,13851.958455034097,-1129.2131711848924,7934.675807754303,-4405.538526222022,429989.01841839653,-1661.7870852214392,-2111.201079342286,677.548916740098,-5929.472260994066,882.2009819193903,15791.826071911644,-31131.682027972794,911.8388740657857,-9929.296978547714,-8597.111515631552,3785.496055824075,30920.01214689493,14614.070766537727,-2951.993149647969,-1395.358913813443,2126.4656144997352,2384.6187560147537,-1498.91092117428,-68192.75649819127,-13326.814203458558,-4758.45799837674,2524.0252105355294,-3604.9963271228953,-2951.069427872292,-2173.4450721230655,-33038.08182802947,-474290.1519399668,-4394.712917878142,10018.03037353494,1882.222894542145,4218.760134295466,5281.930416510343,27900.492585844222,210.52077602156268,-1115.0075209717406,5201.806338899219,105.0551837110843,182859.44802228204,-2189.8415552545234,-2837.6040048820555,4712.464650060427,-2384.306505624967
2.1759831845804594e7,134.89227512475196,-1334.2827372425659,2.5469506109205666e6,1.9025777219594836e6,-2545.8007297681047,23684.822770368166,-1059.0225534463361,-1948.0056826229243,-21597.810955005465,-54203.87807822909,-104719.67329101624,-6381.003770855313,-115329.93352182211,1896.9744501378345,-5570.506226346077,39272.80131543206,-2212.7551281078277,-1174.3989136832986,12227.93185553051,-1970.4736928962338,3997.7888194645816,-2122.7749245753207,-1258.8370946327605,-212989.43984068633,-1923.2992565772652,-1770.607858321828,-4094.7766101798643,-47.87809107844619,-39696.465564533966,413.49168522505937,-6059.843876668519,336305.621520751,-1084.4327201770163,-565.0868739195422,-2491.894264515267,-252765.75188505178,3255.802370688679,5047.980859154648,1557.8186739547439,-10408.764638566501,876.9009527467863,491.4396067466627,7541.86541753396,58224.62951440878,-1189.912194989992,-1164.2925032731198,-2893.166990230296,1149.985628105299,834.6994090108102,-4.709064004181141e7,-10552.998809375706,1718.5751592048903,20052.139830289027,-1191.0589719816676,8350.814941205983,623.7770273265494,433780.6405740167,-1636.3380436861007,-2122.322320386722,-1534.7135860379262,-5229.041366076069,964.4778897586672,17080.09251463245,-33088.711108725925,495.36248337285855,-4192.952485814988,-8996.37178244905,3937.9493628908112,-110325.85131791858,19878.69051779067,-3391.8220397346536,-1093.543877003837,2119.021349272794,3009.5476320072003,-1547.9088431486318,-71089.71760504319,-14745.807716383844,-4761.9344925333635,2853.6412736220286,-3605.2691521756806,-4786.595752424524,-4043.949342848368,-34489.423408040544,-479545.95788063994,2953.2687958751653,35615.124494831514,2005.2362293122467,7059.61842019021,5691.945916511592,-792598.9662770737,462.2314706610972,-1185.6007712795922,5138.514268337957,-0.8530860903373529,54880.68833835618,-2442.244912691607,-2664.227758681507,7162.656403119961,-2627.2573891799175
2.086226562619214e7,-556.477399653725,-1630.4157481821317,2.243415897880804e6,2.525564196236227e6,-2695.062027841663,19338.770368081172,-658.6136797445544,-2334.551726605835,35524.71568600375,-62836.53228804314,128481.30598732801,5893.99709007966,-37313.70757486674,1991.367742925315,-5172.451401635666,26586.855377637625,-1995.2374162356273,-1416.7906840212725,12368.10592715983,-1459.0991911221836,4680.539195488184,-1922.9025047499645,-1189.2453344901721,-213847.53477836258,-1956.563330229537,-2034.6315127893295,-4548.941001070002,-333.3441828612718,9268.488362386714,-2727.1595340418226,-5364.196979859693,367312.8903030022,1737.5020263981,-1088.2572915003002,-2261.456952342139,185785.517081823,3642.8420518226785,1466.4307640464408,2537.4547969094588,-7428.744101607412,1074.0792297949129,191.0272957603077,5264.735492722462,1.6429115800023964e6,-929.7740102874445,-1639.2516804682054,-2532.41917372219,1155.5114722094884,637.8429041757856,-5.812002950968288e7,-8037.647176379807,2002.7688644220927,22832.507119498903,-1068.8599725435486,8758.407213388164,522.8512561670268,438923.570120213,-1699.5610586928103,-2080.0554608759658,4341.942714860799,-6438.158316932569,455.0957471605153,18200.339968396736,-34931.75963713445,657.1136411041771,-4757.971735738785,-9153.476885080068,3897.5033286726766,21593.435393184798,20061.21623004809,-4000.2670957560194,-1543.4276727373262,2276.9499028109276,4481.096911012167,-1479.1620537453143,-73567.89898711914,-17124.65944234874,-4315.4080197889425,2982.4047615784375,-3737.3865261689875,-5272.132483440133,-3493.3586841695087,-35824.08802034887,-476454.66171218303,-7493.404686177724,12725.471264526514,2132.350200436156,7317.6542007535745,6014.409778606909,664905.9279564052,485.97262769368865,-285.65064553393984,5849.134046582889,268.6153862451923,-344356.59599209804,-2434.9269789950695,-3545.6158128057164,308.3356551068407,-2652.9597524226256
