serie,T,modelo,t_create,t_optim,rmse_train,rmse_test,mape_train,mape_test
42,427,modelo 2,0.0095945,1.5342059,127.98212824600023,1902.1275695759114,1.485292110596378,15.106517375286257
42,427,modelo 3,0.010302,2.4399387,94.09663589419448,1803.799355712259,1.1740302850072126,13.797342622128816
43,67,modelo 2,0.003918,0.3455963,398.9116398047921,3529.4874560698277,11.479152607351214,105.47811171928024
43,67,modelo 3,0.0033295,0.2499586,374.4315213621428,5906.767723326948,10.713890717080183,177.42762002146284
44,69,modelo 2,0.0030278,0.7643038,72.70354122843649,393.3321456921843,1.4513815971176913,16.219296943551075
44,69,modelo 3,0.0028312,0.8074594,51.69606189838633,471.1978692914754,0.9756767743876155,19.733154872271417
45,432,modelo 2,0.0099405,1.7065649,11.197700555922879,204.58890319932254,0.15748258816807795,2.1105044207886645
45,432,modelo 3,0.0073258,17.5359594,11.194049802203974,203.4005931304795,0.1570515805614496,2.096404705772984
46,233,modelo 2,0.0059552,1.1523872,21.281135556226843,1568.792346842382,0.18188248192363418,14.868722166111661
46,233,modelo 3,0.0051821,1.3401338,28.094367935425883,1582.9277695072503,0.2282129850605733,15.04482231679781
47,306,modelo 2,0.0067601,1.0734178,10.202692958285269,57.02751335667523,0.23233659574703214,1.3662226292710593
47,306,modelo 3,0.006542,1.7859656,7.206161888503266,107.48208917625993,0.161483606902866,2.6974609245109415
48,218,modelo 2,0.005278,0.8989889,90.69919254084331,5566.329991185069,0.7997936146673611,43.355723886446604
48,218,modelo 3,0.0053752,1.4903641,87.99970044393045,2130.399595196561,0.7690932437115486,18.250632976325917
49,184,modelo 2,0.0047125,0.6878752,30.36533775449363,902.231716525435,0.35427806189231137,11.607153849517854
49,184,modelo 3,0.006799,1.0333224,30.33636266323079,841.9174745897959,0.35343495881926057,10.870746128961388
50,245,modelo 2,0.00582,1.1563913,11.419683564569855,381.9091953868835,1.0905858560146933,16.72714847916113
50,245,modelo 3,0.0052977,22.7770626,8.080996574789271,376.9998189754784,0.716418578351641,16.589445369530342
51,69,modelo 2,0.0033388,0.6053196,41.853479117645776,287.4497072038853,1.826078660558706,31.03442803930153
51,69,modelo 3,0.0029552,0.4361715,31.00191123098647,399.9284523411774,1.3772365654333203,44.74689740422674
52,319,modelo 2,0.0062754,2.188568,259.5649404769037,4091.7984061047264,3.786930821067043,132.294543588581
52,319,modelo 3,0.0063209,0.468911,335.68718507796973,1674.3996465528421,4.922403793333685,28.954613267567908
53,233,modelo 2,0.0061784,0.9218079,119.8694588818789,565.0839158612539,0.8273220483214425,5.165407491292852
53,233,modelo 3,0.005417,1.0091762,26.615520539276847,616.6056876019297,0.1902328181652602,5.617260298013434
54,281,modelo 2,0.0060502,1.4858595,9.099086638544085,448.1369362214907,0.2431820060769343,8.130859943460976
54,281,modelo 3,0.0069411,2.5825146,12.113154491068817,456.918172017683,0.31461024438464635,8.34274527306347
55,69,modelo 2,0.0034979,0.6597633,95.50390093604568,4226.81482949528,0.9115998778166555,91.7665135385714
55,69,modelo 3,0.0034496,0.6725338,93.20822909995624,4235.824636468544,0.8852991533160364,92.11390659829054
56,73,modelo 2,0.00373,1.0586129,573.5543501970459,6727.981905689455,10.772687889256273,71.33781755579884
56,73,modelo 3,0.002556,0.3218444,574.0645327813396,11655.886653691658,10.706797168573646,118.98554805968429
57,319,modelo 2,0.0067299,0.2643702,5965.601903948564,13326.038022347086,63.96501262495643,311.0311700270318
57,319,modelo 3,0.00681,0.8566237,1870.8068634869921,2213.4370545086636,17.194384000306776,55.072227223308424
58,104,modelo 2,0.0035186,1.005786,5.534772372786622,705.5457795466131,0.10982163528853314,21.418678647718657
58,104,modelo 3,0.0032628,0.7590091,5.530000396035606,713.5614172020198,0.10989496809177103,21.632716031540447
59,191,modelo 2,0.0051135,1.0469159,37.28878081717294,368.83167329467955,1.2079490165986675,12.7160230933972
59,191,modelo 3,0.0063137,0.4283187,78.15105799079639,4640.586582165534,2.380602273514694,154.12086094842851
60,474,modelo 2,0.0109207,2.4819854,22.419211770314693,134.86969734902908,0.9710862724728311,3.5899208184366884
60,474,modelo 3,0.0104777,3.2251607,22.41571395426687,131.08239714300535,0.9707829510002829,3.430662522454955
61,289,modelo 2,0.0068159,1.3219098,23.092367582043817,118.15485503166228,0.26114623022965744,1.5144589449183419
61,289,modelo 3,0.0063027,1.1264584,23.08004590464213,119.68788353162216,0.2603915229312599,1.46511971735486
62,69,modelo 2,0.003329,0.6804627,168.5359083787057,548.962076409965,2.3639642486422936,22.469279396168318
62,69,modelo 3,0.0029453,0.4933369,115.35118027499607,750.1035204542803,1.521237493181434,29.048876038670084
63,330,modelo 2,0.0076888,1.7736213,64.71319159194694,2836.256542098832,4.065966869428209,211.6423052787034
63,330,modelo 3,0.0065661,1.3050023,64.64661460939976,2818.1884469941424,4.025065014500726,210.34404112064183
64,73,modelo 2,0.0040579,0.4233432,2.390236852455676,23.956263307593314,0.18117272171973053,1.9325609703095943
64,73,modelo 3,0.0033075,0.7323975,2.380499907270435,24.688363327890055,0.17936519604556325,1.998632843489127
65,317,modelo 2,0.0071152,1.9791897,86.69732453959472,2408.1189079263727,6.075848424067616,66.497950286621
65,317,modelo 3,0.0064997,1.3715577,62.70702815929957,1675.2505095790868,4.1650511557405485,44.39215057004729
66,69,modelo 2,0.0036473,0.621348,14.520615088340119,708.4246318597488,1.1700990285308497,96.54363700370541
66,69,modelo 3,0.0033075,0.4682208,14.524017366797333,629.9395157036226,1.180903011435588,85.80332462894371
67,306,modelo 2,0.0077081,1.5792874,9.036312533392351,408.67708591448513,0.09653914716274302,6.037324111156274
67,306,modelo 3,0.0066309,1.2883711,44.379405274438625,377.2932436271752,0.46781911802737525,5.539665631979086
68,233,modelo 2,0.005857,1.0860962,34.38011810644467,125.52329966371533,0.265310362886664,0.9439463405811505
68,233,modelo 3,0.0318171,1.8261999,34.28691627916859,290.127435439337,0.2636169033921529,2.7353940788419235
69,246,modelo 2,0.0067047,2.0434179,90.55331556139022,141.23540673159172,1.6135633280609136,10.567628306679994
69,246,modelo 3,0.0056456,1.3127305,63.9233523643435,127.0188097115775,1.1780440915778143,9.307815305111006
70,203,modelo 2,0.0049634,0.8870671,16.407053771109453,60.000784610433186,0.46595856668681734,1.7299718509877617
70,203,modelo 3,0.0048928,0.8933899,11.677269036634861,85.82210190476623,0.3346015078189049,2.4229776116841903
71,202,modelo 2,0.0053117,1.2260257,18.016619221005293,169.7715067056666,0.26503020656694687,2.4025398951990726
71,202,modelo 3,0.0050166,0.6919864,17.985906834418913,386.51507766976755,0.26421510389242986,5.7260189037742215
72,306,modelo 2,0.0070385,1.0916537,19.112027883491713,170.9430199808028,0.27196583555624604,2.846510181814832
72,306,modelo 3,0.0058637,1.1952093,19.113898106847824,143.8088828438075,0.27252823893911954,2.2391897522637674
73,169,modelo 2,0.005221,1.3757025,123.12449380278723,1361.765336271214,1.220532754787064,14.86119255108957
73,169,modelo 3,0.004887,0.8887016,122.93547999852058,1283.444976643158,1.21544372184578,14.829224729055914
74,69,modelo 2,0.0034277,0.9948449,120.36724728824129,3171.760664174947,1.9500124208429979,103.8147963512555
74,69,modelo 3,0.0033812,0.5547248,115.91311919366188,3539.3114564612874,1.939426517680833,115.26479239946927
75,115,modelo 2,0.0031284,0.6130966,19.06436512541259,157.2428391502897,1.0591144577179068,20.23374041989384
75,115,modelo 3,0.0035017,1.1733196,19.051914617782636,178.8317233772656,1.0556065841237599,22.97744662006552
76,101,modelo 2,0.0032383,0.6070898,66.32934106792585,961.7485316805668,2.768336791153917,73.68291146156758
76,101,modelo 3,0.0033374,0.6888699,49.16386732397,1044.459839271475,1.9426414827622391,78.9515093985033
77,415,modelo 2,0.0080724,2.0449493,46.580004176849414,415.8361416112022,0.7800848162651124,8.804942172439018
77,415,modelo 3,0.007236,2.1514152,46.53567384143938,869.6961815126865,0.775663903762794,17.97387607500982
78,78,modelo 2,0.003267,0.3929691,74.29242043686017,3770.1825703898526,5.1496296843168174,626.6951654317513
78,78,modelo 3,0.002974,0.7309815,68.62343178804008,1211.3745029209222,4.384989261426324,195.66231529255438
79,366,modelo 2,0.0103017,2.2519801,407.07169869180024,41397.98673489116,7.521243421082298,212.73340298986923
79,366,modelo 3,0.0070986,2.0820844,546.638922723366,80759.69821537878,12.877090088044376,404.0072726312028
80,253,modelo 2,0.0063754,1.29574,21.996026250352163,92.64001303845151,1.3661861260598795,6.166605098907848
80,253,modelo 3,0.0059356,1.0589953,16.467212955941815,422.11485824939814,1.0337661306492656,29.260065266675234
81,284,modelo 2,0.0061148,0.1217057,569.4441756205391,462.0694410599923,19.866790411994444,10.412593265608937
81,284,modelo 3,0.0065912,1.6968706,135.58368095392603,984.5629734037184,4.211501298975413,23.328598420574874
82,175,modelo 2,0.0046499,1.0808392,81.0282548108348,1823.8133984250928,1.1716591395955747,26.65054261620111
82,175,modelo 3,0.0048806,1.0050181,80.85368318127578,2610.009577439057,1.164746456151435,38.11951759511208
83,306,modelo 2,0.0065564,1.693835,6.414636515300654,130.5048943315509,0.1581552375552623,3.695860693311511
83,306,modelo 3,0.0063101,3.9826393,6.414495685880299,131.14377712831222,0.1582204894966591,3.715769667054483
84,294,modelo 2,0.0069174,1.3944892,19.486579508415318,1687.089792173609,1.1109879811994579,37.82298857677548
84,294,modelo 3,0.0061475,1.3071199,15.491226725050884,1913.281729679138,0.8662925260130799,42.69351996893832
85,306,modelo 2,0.0071909,1.0123725,9.9824432725057,78.68288336404423,0.3208358550494259,6.306273375970864
85,306,modelo 3,0.006717,3.891446,7.405021983566019,120.27755401876394,0.2358046682138794,9.758854246586385
86,69,modelo 2,0.0028882,0.2936808,200.2717484235168,248.45966507604496,5.873894207367122,15.636796104341283
86,69,modelo 3,0.0029616,0.5483218,50.84470991849825,1200.3646585890258,1.348625574745738,82.50434601787337
87,169,modelo 2,0.0043313,0.5442104,136.91992424285874,4912.750797245893,3.081336648629017,127.44655862926211
87,169,modelo 3,0.0044528,0.1052692,468.4401900111759,533.3063753683145,11.822485846423856,13.781193040443362
88,305,modelo 2,0.0422805,2.1136379,3.4189198146098208,37.32599739476903,0.12650304804755524,1.1505728465652374
88,305,modelo 3,0.0064666,2.271026,3.416935020536346,37.087922713131746,0.1253798725953343,1.1431938074703174
89,267,modelo 2,0.0060448,2.6816414,142.7410919055848,1210.4243761536868,2.8999732627062444,14.449907294033917
89,267,modelo 3,0.0056436,1.206377,103.9348861990653,1505.5723448331596,2.021253993393104,18.33956668448621
90,175,modelo 2,0.0044527,1.1358307,26.05449083041995,105.5705576683338,1.4655409930302599,8.340554255923303
90,175,modelo 3,0.0045856,0.5425441,25.98460833505537,98.57059736321078,1.454032116655078,7.740969902906842
91,306,modelo 2,0.0105955,1.3934252,49.847924518606256,108.29131209157369,0.9348826409648826,2.099789449306683
91,306,modelo 3,0.0063746,40.2366925,10.619979201973795,164.47986668341423,0.20001982281633163,3.0459345243737097
92,247,modelo 2,0.0058615,3.4529722,111.46295995434589,6446.961167757323,2.4807646516207855,22.86328898914181
92,247,modelo 3,0.0055085,2.0511068,155.99028632764586,6280.991090979996,3.259517491857032,21.597321633018502
93,69,modelo 2,0.0034778,0.361305,325.4445358701721,5569.136725226969,3.362325969870491,95.0276278412178
93,69,modelo 3,0.0029978,0.0706628,3809.539901328364,20609.475949311505,43.250527078377694,388.6875610893733
94,162,modelo 2,0.0062485,1.1005516,35.282364555487845,610.4227228550175,1.7736551630459987,42.55731918241069
94,162,modelo 3,0.0044174,1.175938,35.17276515102881,590.2314411617484,1.7576087590816754,41.210522982967596
95,306,modelo 2,0.0069715,1.6051404,4.923544540211217,22.18728906043991,0.25854104252522403,1.9017316124947201
95,306,modelo 3,0.0074151,15.6179323,4.921097699271438,20.726713267098926,0.25839859663935444,1.7651004603453115
96,69,modelo 2,0.0030554,0.3509211,16.367156667728533,565.6724905786293,0.6394000555158892,58.36958187932415
96,69,modelo 3,0.0029774,0.422906,16.31608626429524,578.6087539069418,0.6265915958415602,59.82365392308912
97,352,modelo 2,0.0069757,1.9743511,13.7792898979834,487.0727654703496,0.5212137124165498,13.805334472248488
97,352,modelo 3,0.006705,300.0066506,19.587212417378055,216.74806534023446,0.743256843658384,6.136427043786817
98,69,modelo 2,0.0032156,0.3665698,31.966707355325735,1469.0534892712499,1.021267489682982,66.48492083473792
98,69,modelo 3,0.0025656,0.4156939,31.517851774107804,1449.5660104449134,0.9777265336900872,65.57218246360823
99,514,modelo 2,0.0104536,2.2344353,122.97899421087037,2680.298835473279,1.6100252362877927,36.302199552656965
99,514,modelo 3,0.0098571,2.4269097,120.27842370365433,1099.6731889741088,1.5739664667706248,14.812424619925777
100,330,modelo 2,0.0065118,1.1723987,319.41954218066365,7768.991333935689,3.4404684745112935,24.6615041291825
100,330,modelo 3,0.0064215,1.4278759,320.96824659515306,3929.3428782317224,3.520962226298426,11.204271549102964
101,82,modelo 2,0.0278494,0.6805368,198.3272054628532,3182.127158614647,4.086160781427965,47.04664522355226
101,82,modelo 3,0.0037529,0.0587354,1341.848597046205,2823.0543606630786,36.19164726864035,41.71538541312751
102,69,modelo 2,0.0025926,0.0511618,1199.7159632776252,6018.581433812098,19.153875285243185,216.83632778253963
102,69,modelo 3,0.0025517,0.1673129,179.3650883449034,4619.173066634587,2.648686286960189,179.59556506645873
103,69,modelo 2,0.0031964,0.1944763,53.484334168026905,2362.505275794472,0.43505571109436847,40.78215185797964
103,69,modelo 3,0.0031798,0.1477207,60.890204649503836,1214.2481270252495,0.5313036265155112,21.127435252743673
104,306,modelo 2,0.0083913,0.6873588,23.2463768506132,103.97517869376016,0.6169183430710647,3.7476436845614627
104,306,modelo 3,0.0284894,299.9992735,6.808548404997582,182.95330867296886,0.187504718795032,6.236512796775478
105,211,modelo 2,0.0046391,0.8516283,10.355788918626775,374.00990965755074,0.10212278765319523,2.984642037186537
105,211,modelo 3,0.0042063,0.5679894,13.424181937937574,598.0240092855012,0.13182973839642093,4.942365708286673
106,150,modelo 2,0.0043481,0.8808644,32.80078574417921,216.39161029016952,0.35396415369810835,2.690884770178846
106,150,modelo 3,0.0039089,0.6514194,32.79916601368101,185.9728669860537,0.3532392119500419,2.3260670789811684
107,69,modelo 2,0.0037423,0.2185032,12.248861329013797,327.72577039731027,0.7484628000815602,33.27097619233692
107,69,modelo 3,0.0028957,0.1879098,12.17983295467314,475.05465460439456,0.7575479079606482,48.429299213145526
108,306,modelo 2,0.0060847,1.9209961,6.566224660739836,72.63608849577422,0.2571529622366084,2.5561111362412943
108,306,modelo 3,0.0059538,299.9914795,5.617854012923496,61.12077069234226,0.2102544611407237,2.248211364314255
109,362,modelo 2,0.0081646,0.7175091,115.46339851299946,7121.0697523967365,7.627359479030978,256.17646376474505
109,362,modelo 3,0.0067597,1.3329454,114.88628150647999,1830.8489926805516,7.6316825377180555,54.815243529756295
110,69,modelo 2,0.0036661,0.3012856,22.069113131818636,1043.851784962857,0.9177228863342108,77.05576597019135
110,69,modelo 3,0.0029205,0.215476,22.749873994587517,625.8874580204387,0.9754128446856261,45.83080103238875
111,239,modelo 2,0.0056077,0.0856099,1108.3390132560169,1007.4395001993985,10.8726250985661,5.651311142172591
111,239,modelo 3,0.0060993,1.1169419,172.35223086537434,929.7665704315992,1.6746983031647011,5.250403091941546
112,69,modelo 2,0.0034785,0.3135098,24.679480836655856,1150.0548773443493,1.4265168337373564,124.91461446538041
112,69,modelo 3,0.0028083,0.3365435,34.29025918616237,809.3169290675539,2.0250398897654573,85.48150145861503
113,399,modelo 2,0.0077227,1.4990927,45.264626260834994,1491.813297222572,1.787818337116058,23.993713592882386
113,399,modelo 3,0.0093356,1.1096466,62.634902071984655,308.81178252849395,2.383701853061701,4.1377033915726384
114,128,modelo 2,0.0039111,0.5459131,50.06360391824805,247.5868541781697,1.063582471730689,4.611461861512592
114,128,modelo 3,0.0034021,0.5128735,50.08510999324016,441.9365687069059,1.076240545129758,9.41437921761171
115,306,modelo 2,0.0065975,1.6699974,8.034864896316272,152.7756525663142,0.343409089692419,5.337054582535965
115,306,modelo 3,0.0060073,1.4477645,5.69638362006925,171.67191650902262,0.2427084042454245,5.956966303697117
116,127,modelo 2,0.0040096,0.435759,24.8402496629568,719.6383277405537,1.1798598194624006,48.07390374569967
116,127,modelo 3,0.0032979,0.4046269,24.828266194735995,679.396271456169,1.1759054913517644,45.44877643739525
117,559,modelo 2,0.0103655,3.4768492,37.464500353037714,638.724674323891,1.0143525358164245,10.836873506275372
117,559,modelo 3,0.0087446,2.5162835,26.54881151532232,1019.0974168682026,0.7010635071091106,17.600929050442165
118,306,modelo 2,0.0062951,0.6206503,33.62392214919624,311.76648773220904,0.6044006176344149,5.604234219141036
118,306,modelo 3,0.0061874,1.3075776,7.3375525599145455,422.082938979094,0.13396821801824849,7.533645063159994
119,70,modelo 2,0.0032483,0.4990686,58.8869486045469,1491.4777536039794,0.6200462439162137,28.52697531138225
119,70,modelo 3,0.0027218,0.6103737,58.800604376012096,1566.5818626050261,0.6119149928400753,29.878715067582274
120,181,modelo 2,0.0043556,0.9460629,88.82249823737394,205.78925242851687,2.456493198595387,4.794781871176527
120,181,modelo 3,0.0044428,0.7172246,18.314868900748326,262.94505117736827,0.503477932639809,6.580151740265771
121,270,modelo 2,0.0058238,1.1090994,26.518545261895518,660.3025048451108,1.5321043855132843,21.701842254324326
121,270,modelo 3,0.005146,300.0211281,34.824758714092525,174.7372861802325,2.0627077936348512,4.467890982062191
122,312,modelo 2,0.0062311,1.2430338,99.11105477794695,765.250830270152,4.031221968390156,7.750334313413079
122,312,modelo 3,0.005759,0.8020594,99.23752777967213,1341.147891128679,4.146289527962854,18.165875553353487
123,233,modelo 2,0.0056208,1.0454147,22.94018081441786,519.7285114240988,0.22475021035952109,4.8090812978671575
123,233,modelo 3,0.005337,1.0088645,22.942321502145447,517.1444917403985,0.2251305256140323,4.780219448816145
124,352,modelo 2,0.0070869,1.7612157,13.822413974368168,926.5187985133216,0.6852740300356135,42.251459006560374
124,352,modelo 3,0.0067474,1.0665754,13.796529668448382,830.4673534053571,0.6838611275370275,37.857971386437306
125,247,modelo 2,0.0058148,0.0924578,2698.3884305257175,3034.7950797936696,46.37672131604355,65.69134770394565
125,247,modelo 3,0.0050716,1.1521059,315.98169974346547,1382.8202931802964,3.572309460712577,28.877174603228312
126,210,modelo 2,0.0049706,0.6430376,7.656967502390601,99.34826790202281,0.26385551694992176,9.1425762135278
126,210,modelo 3,0.0042334,0.707314,7.656977706726558,92.5055249097867,0.26357180156320703,8.490757778787646
127,306,modelo 2,0.0058076,1.1845116,9.187369910863312,214.18320894394807,0.19845369333521853,5.722737604643783
