model;status;count;freq
model 1;LOCALLY_SOLVED;32;0,32
model 1;ALMOST_LOCALLY_SOLVED;24;0,24
model 1;NUMERICAL_ERROR;14;0,14
model 1;ITERATION_LIMIT;30;0,3
model 2;LOCALLY_SOLVED;97;0,97
model 2;NUMERICAL_ERROR;1;0,01
model 2;ITERATION_LIMIT;1;0,01
model 2;NORM_LIMIT;1;0,01
model 3;LOCALLY_SOLVED;95;0,95
model 3;NUMERICAL_ERROR;2;0,02
model 3;ITERATION_LIMIT;2;0,02
model 3;NORM_LIMIT;1;0,01
