model;status;count;freq
model 1;LOCALLY_SOLVED;85;0,85
model 1;NUMERICAL_ERROR;13;0,13
model 1;ITERATION_LIMIT;2;0,02
model 2;LOCALLY_SOLVED;98;0,98
model 2;NUMERICAL_ERROR;1;0,01
model 2;NORM_LIMIT;1;0,01
model 3;LOCALLY_SOLVED;96;0,96
model 3;NUMERICAL_ERROR;2;0,02
model 3;ITERATION_LIMIT;1;0,01
model 3;NORM_LIMIT;1;0,01
