model;metric;mean;std;median
model 1;t create;0,019194016;0,016465037642300357;0,01492765
model 1;t optim;0,498790616;0,24593109953094947;0,4506326
model 1;rmse train;3,622181019610081e6;2,7108207506241586e7;890,5531994599112
model 1;rmse test;1,0746046286417587e7;3,791517213721806e7;34475,39717695332
model 1;mase test;33,403839023330754;47,93942030395244;8,361018488496725
model 2;t create;0,006721416000000001;0,013979272073032364;0,0046435999999999995
model 2;t optim;0,5209951410000001;0,9005826582569948;0,27584565
model 2;rmse train;2,021834114063781e6;1,1453799905230418e7;889,6734599923165
model 2;rmse test;7,998898288870259e6;3,632148668535795e7;39229,89067934093
model 2;mase test;29,916341641191888;47,63245793935258;6,138682602963707
model 3;t create;0,00737514;0,015401225848679064;0,0049286
model 3;t optim;0,471994627;0,8355468284124489;0,35105455
model 3;rmse train;932183,3906138331;4,376235974652707e6;850,9980437180764
model 3;rmse test;6,916395296111653e6;3,394672979915958e7;35680,82492526758
model 3;mase test;28,805205407246728;48,14108143089217;5,931896644899783
