serie,T,modelo,t_create,t_optim,rmse_train,rmse_test,mape_train,mape_test
1,69,modelo 1,1.8385665,64.1519182,37.88756952822684,393.427932668091,0.9167932130030865,22.848712801371622
1,69,modelo 2,0.8881087,0.3890341,31.453864845666633,325.8711424676535,0.7665935759498967,18.87772772970031
1,69,modelo 3,0.3460974,0.4463012,31.446963523003905,335.9846249124641,0.7635618387762059,20.18813675641689
2,256,modelo 1,2.9588697,331.4203446,5553.917249878186,3865.6353005883207,74.25615067342389,51.582819212502805
2,256,modelo 2,0.0071242,1.9172872,76.60750780119399,1407.0313136742882,0.9568927793389722,19.300257757697604
2,256,modelo 3,0.0069101,0.9675318,76.43703930642779,1006.186122421842,0.9541968033922684,13.530463457543338
3,290,modelo 1,4.4385443,345.0010374,1135.355426246439,1551.6475228350466,10.063089472521936,12.893619181399835
3,290,modelo 2,0.0060651,1.1301663,275.5044101761947,5468.2268452276285,2.203226197314517,48.108546268911134
3,290,modelo 3,0.0060841,1.2704007,275.0768476049506,5981.195108378466,2.1952947083560868,52.563285819356906
4,168,modelo 1,0.6892058,306.6393196,478.5503409330732,151722.10763487132,14.00255406130767,8072.603451411085
4,168,modelo 2,0.0041365,1.0233908,293.85712610267313,2698.447543485572,8.002263704483264,123.78561737038562
4,168,modelo 3,0.0043945,0.0822754,1694.6069887182803,1041.0365871900894,72.09267830000391,41.47730711623302
5,247,modelo 1,2.5616741,312.5759317,440.4882725181109,10568.43001727221,40.432912447073626,2141.609923383258
5,247,modelo 2,0.0053492,1.6072604,157.39612589985379,393.94500005331776,15.064271824946495,60.52910661821905
5,247,modelo 3,0.0058588,1.0239159,33.961703532950985,424.562477626073,3.339138491488084,66.27793850274593
6,352,modelo 1,7.0293981,351.6285792,81.78167548834878,151.74172464886215,5.794802390016277,7.856480127317876
6,352,modelo 2,0.008431,1.2798923,13.040968603715955,165.35252831356595,0.9180027319633385,7.632586793923078
6,352,modelo 3,0.0087304,1.7846922,13.053366296988365,134.484101967538,0.9175798277129908,6.201965733731628
7,289,modelo 1,3.91161,341.7298781,140.0948238274444,182.83942069867354,11.108702514663223,20.16501272187986
7,289,modelo 2,0.0056043,0.8463306,19.49161625058298,121.43112605788943,1.6755305378287515,13.967483466732544
7,289,modelo 3,0.0080538,1.6688629,19.462093480993584,121.75832854597995,1.6700357357021272,14.000563026522531
8,175,modelo 1,1.076323,303.3450902,1670.2647990225578,1283.588659262227,15.559414907515109,17.389687484343654
8,175,modelo 2,0.0043799,0.9536535,228.35301923093598,3130.872090859418,2.496916107133205,45.73471442936305
8,175,modelo 3,0.0045135,0.7522722,617.3137362861535,22461.685051628658,5.919215895524146,356.54251110134567
9,245,modelo 1,2.4468718,320.7338104,9628.500584794854,6331.196077346719,194.2643047275933,69.78783058080818
9,245,modelo 2,0.0054306,1.7680587,41.63434909429244,600.7662354253121,0.5227118098169883,5.2765873270160455
9,245,modelo 3,0.0056491,1.2982008,29.932952458265966,626.1149552625868,0.34011934698797464,5.559668252999147
10,306,modelo 1,4.7539438,320.6447217,130.10744371484407,140.23418900854895,3.9432155489231526,4.411478509676274
10,306,modelo 2,0.0078426,0.8797871,14.514334877858422,27.47500452654131,0.37835700417167717,0.837540048140651
10,306,modelo 3,0.0062592,0.6876278,14.509737989154765,27.5710333186755,0.3777068761711899,0.8404168055026705
11,191,modelo 1,0.9582381,311.9605101,116.04339893246716,260.81479987373666,3.5879732581360986,8.998876023687043
11,191,modelo 2,0.0049065,3.4771416,2.9486191611198604,350.5042664789658,0.08833057169266342,11.509953250224042
11,191,modelo 3,0.0064312,1.213414,2.948397601497594,347.0468100386384,0.088257681803747,11.389561610899891
12,80,modelo 1,0.0816263,194.427443,321.69797947088574,4523.060920747942,3.59107846147019,90.79686298837883
12,80,modelo 2,0.0033718,0.8020294,323.20182557271744,3796.3668888428033,3.6045046418607387,78.23744290970035
12,80,modelo 3,0.0033428,0.3878017,322.5103647518183,5878.645642836527,3.599979747952389,119.44825494644553
13,306,modelo 1,4.7186377,327.3437034,121.17973937197839,136.60975535092004,3.5067253232495954,4.075755812037739
13,306,modelo 2,0.0062201,1.5409943,9.991908548543563,249.12506395602057,0.28240530336412684,7.465997643254946
13,306,modelo 3,0.0065163,1.7245123,9.990773648944455,246.2186727711892,0.28240954663071277,7.37986329665795
14,317,modelo 1,5.1243013,354.5459876,1442.5955915821717,5678.932459522355,19.086713441782276,34.479413296199404
14,317,modelo 2,0.0071109,1.5134872,310.15062676358025,6345.399176354007,2.533463983011641,34.16075358809232
14,317,modelo 3,0.0088055,1.8234813,309.37406774472043,1867.4282854093617,2.531982597154166,8.122734252461557
15,69,modelo 1,0.0529879,106.8876204,68.94461077080229,1571.8561932076263,1.2530809206088513,30.26462711495761
15,69,modelo 2,0.0032136,0.2926946,69.4030217392247,2293.2750096776745,1.2430145655969682,45.896835985308314
15,69,modelo 3,0.0031091,0.3343828,69.01938384960255,1847.9317750557236,1.2533662921843536,35.78433630489279
