serie,T,model,t create,t optim,rmse train,rmse test,mase test,status
1,170,model 1,0.1999191,0.5688581,498.48765148518885,35623.60546265351,0.37957093186625634,LOCALLY_SOLVED
1,170,model 2,0.1255332,0.2449446,498.04301441441356,21620.059661551863,0.24116205799746798,LOCALLY_SOLVED
1,170,model 3,0.1474948,0.3312306,496.4544223052973,28008.46966270036,0.3111426267821705,LOCALLY_SOLVED
2,170,model 1,0.0145641,0.2288706,638.9427811960428,19925.990448933062,0.04538844883383848,LOCALLY_SOLVED
2,170,model 2,0.00416,0.0286899,109576.83564833581,236973.59270743368,0.6328656510271303,LOCALLY_SOLVED
2,170,model 3,0.0051906,0.0345966,116850.72135516898,247511.09941859124,0.655610292044078,LOCALLY_SOLVED
3,170,model 1,0.0144854,0.6617619,202.19746544117663,13098.899165115869,0.0635716204329287,LOCALLY_SOLVED
3,170,model 2,0.0041414,0.2715451,405.9016524534692,28768.584002748466,0.1620695372229792,LOCALLY_SOLVED
3,170,model 3,0.0352065,0.2683089,275.65964121322645,10158.602703602051,0.06186438593276498,LOCALLY_SOLVED
4,170,model 1,0.0146336,1.818277,0.7754407068774606,106.0673450661112,0.28034190464314784,NUMERICAL_ERROR
4,170,model 2,0.0050175,6.6347189,0.8278605125397589,97.35099830287919,0.2606163715382707,LOCALLY_SOLVED
4,170,model 3,0.0056079,1.4394798,0.8269102638845739,96.39737444023044,0.25776674378698405,LOCALLY_SOLVED
5,170,model 1,0.0133149,1.0719703,89.00628076713835,2879.101324283179,3.2172899256250513,LOCALLY_SOLVED
5,170,model 2,0.0047673,0.354864,92.47398663095521,3414.2365325585597,3.7435700688341975,LOCALLY_SOLVED
5,170,model 3,0.005171,0.4601494,90.85725651907235,793.5534847301379,0.8051137112285546,LOCALLY_SOLVED
6,170,model 1,0.0153325,0.4910217,348.44061287614596,3428.314758860507,1.0880481254097387,LOCALLY_SOLVED
6,170,model 2,0.0051953,0.1758092,351.0625444872294,2812.484979169741,0.9469198664381442,LOCALLY_SOLVED
6,170,model 3,0.0049177,0.3021425,1347.3369394546196,331957.55067138316,107.77282537890085,LOCALLY_SOLVED
7,170,model 1,0.0142445,0.4738335,2971.1109674358604,838774.0993259653,0.20112148815567946,LOCALLY_SOLVED
7,170,model 2,0.0044536,0.0448141,588383.1623762484,1.165394098814333e6,0.2671764695292102,LOCALLY_SOLVED
7,170,model 3,0.0044936,0.0792203,614938.1313417021,1.082381182620931e6,0.24489345558782458,LOCALLY_SOLVED
8,170,model 1,0.0413511,10.7603668,10.163608921806347,134.5400755086565,1.5131178027034236,LOCALLY_SOLVED
8,170,model 2,0.0049165,0.730913,10.217831175915853,207.97276041796562,2.338596014863597,LOCALLY_SOLVED
8,170,model 3,0.0044567,0.5419466,10.104056419025806,195.6060912853457,2.228199610034328,LOCALLY_SOLVED
9,170,model 1,0.0149125,0.3715918,27.760614744633592,2251.9080500299465,0.6577762581397609,LOCALLY_SOLVED
9,170,model 2,0.0044808,0.6058083,8.308595400027972,1537.8409689576838,0.43355936815992874,LOCALLY_SOLVED
9,170,model 3,0.0044872,0.5798563,14.1528438513262,1889.9927288064096,0.5351914924278947,LOCALLY_SOLVED
10,170,model 1,0.0141119,11.3776783,5.263824061706238,105.46794092806978,0.059022351474483564,LOCALLY_SOLVED
10,170,model 2,0.0050781,45.4210108,5.293662230932419,131.12118437582947,0.07371096799552836,LOCALLY_SOLVED
10,170,model 3,0.005505,1.4583243,5.274979013600666,83.00417703408795,0.04568510832667534,LOCALLY_SOLVED
11,170,model 1,0.0149008,0.7880192,42367.64234902072,317082.783477186,0.8140561076052484,LOCALLY_SOLVED
11,170,model 2,0.0042045,0.0908001,143495.07201698393,275533.5270180969,0.7050722120679249,LOCALLY_SOLVED
11,170,model 3,0.0041076,0.3080036,284332.43012435874,312401.7686000806,0.8582552934795094,LOCALLY_SOLVED
12,170,model 1,0.0138946,0.2233606,10.234931984630975,1086.97337467603,0.4885881939591691,LOCALLY_SOLVED
12,170,model 2,0.0042693,0.6581095,12.688771449939889,27.938047031872614,0.014602297565094123,LOCALLY_SOLVED
12,170,model 3,0.0050591,120.7804731,12.633679290925876,28.04206243486974,0.014581416843425347,LOCALLY_SOLVED
13,170,model 1,0.025835,1.6259849,1.8136557828869324,249.4111969227653,0.3957514305999522,NUMERICAL_ERROR
13,170,model 2,0.0077914,3.9408522,3.0107812444813598,559.8373921874893,0.88417687222116,NUMERICAL_ERROR
13,170,model 3,0.0078019,2.2644312,1.8245429584815631,239.05407192767515,0.37742391040246687,LOCALLY_SOLVED
14,170,model 1,0.0259396,5.2774415,1.4962978051544458,19.026653406834406,0.09729326542799564,LOCALLY_SOLVED
14,170,model 2,0.0076528,1.9934534,1.1272833430040625,29.34143055028427,0.14558984272206657,LOCALLY_SOLVED
14,170,model 3,0.009376,2.0990093,1.1207857984800471,29.736115640854972,0.14776890071018134,LOCALLY_SOLVED
15,170,model 1,0.0256656,4.7054233,3.491413482675458,194.96197399141315,0.11232503763488443,LOCALLY_SOLVED
15,170,model 2,0.0084438,0.9799547,3.521146909170947,261.4613737729146,0.14850959069787298,LOCALLY_SOLVED
15,170,model 3,0.007454,0.2655022,12.053875326889157,104.73862567195343,0.05761627944579671,LOCALLY_SOLVED
16,170,model 1,0.0263867,10.8244513,58743.740681003896,622834.8656684335,0.12693712242825198,LOCALLY_SOLVED
16,170,model 2,0.0084119,0.2499968,439424.17017124704,1.9281731612807224e6,0.4229816770008853,LOCALLY_SOLVED
16,170,model 3,0.0079609,0.1298006,650781.7416835157,2.56398864440765e6,0.5376094458339102,LOCALLY_SOLVED
17,170,model 1,0.0259997,0.5645951,1494.051568183714,85282.48115884438,14.498146035983806,LOCALLY_SOLVED
17,170,model 2,0.0078046,0.5745613,1502.8387409565241,158779.07625923253,25.803580974561388,LOCALLY_SOLVED
17,170,model 3,0.0078491,0.6114219,1469.678106886119,159862.6949991234,25.9000312807196,LOCALLY_SOLVED
18,170,model 1,0.0257015,0.6956308,14057.197631632034,216064.66563293693,3.3998188102074507,LOCALLY_SOLVED
18,170,model 2,0.007627,0.1447351,85132.86233374637,310039.87875756546,4.782186104156514,LOCALLY_SOLVED
18,170,model 3,0.0081595,0.1976063,75044.67314411495,224789.0674446765,3.1303002789393783,LOCALLY_SOLVED
19,170,model 1,0.0279069,1.8507884,452.89344738803527,107692.95365217341,0.12578734842953584,LOCALLY_SOLVED
19,170,model 2,0.0077241,0.0581182,65225.63599517558,173184.59304916338,0.22733522960981822,LOCALLY_SOLVED
19,170,model 3,0.0077465,0.0737269,64297.268964189614,170189.22066234527,0.22337256831311744,LOCALLY_SOLVED
20,170,model 1,0.0250482,0.1291975,138.8396498251382,623.0241270656849,0.6015044381223826,LOCALLY_SOLVED
20,170,model 2,0.0076822,0.7598953,13.580595094071507,282.20228144570774,0.23897394533482838,LOCALLY_SOLVED
20,170,model 3,0.0077538,1.4783824,13.538961037598607,103.562227983853,0.0900142106536442,LOCALLY_SOLVED
21,170,model 1,0.0258534,0.3952499,817.8139188822528,42474.50795442167,1.0981700747492444,LOCALLY_SOLVED
21,170,model 2,0.0078248,0.6188338,1311.3192826362479,38230.01146005943,0.9948046067879222,LOCALLY_SOLVED
21,170,model 3,0.0075173,0.9122686,1306.5936118489722,38769.17603761145,1.0086029120455344,LOCALLY_SOLVED
22,170,model 1,0.025335,17.1577099,0.021784194767631587,0.5627762047259216,0.0005564092503769823,NUMERICAL_ERROR
22,170,model 2,0.0083882,4.8562627,0.1157788689482738,3.6667961725663822,0.0033794502454372894,LOCALLY_SOLVED
22,170,model 3,0.008349,13.5561345,0.18088006035770532,2.8459324252037033,0.0026632591160714123,LOCALLY_SOLVED
23,170,model 1,0.0254519,83.1945208,3.4701484628377783,94.89269448176921,0.0673453141302718,LOCALLY_SOLVED
23,170,model 2,0.0087841,1.1430882,3.4845807445863937,91.07515921183962,0.06441063105970116,LOCALLY_SOLVED
23,170,model 3,0.0074592,1.8396025,3.4819002039459237,80.69144961468864,0.05597577067743114,LOCALLY_SOLVED
24,170,model 1,0.0648879,3.2541897,0.7754407068774606,106.0673450661112,0.28034190464314784,NUMERICAL_ERROR
24,170,model 2,0.0083472,11.3487378,0.8278605125397589,97.35099830287919,0.2606163715382707,LOCALLY_SOLVED
24,170,model 3,0.0077335,2.4539956,0.8269102638845739,96.39737444023044,0.25776674378698405,LOCALLY_SOLVED
25,170,model 1,0.0688782,4.6215277,3.491413482675458,194.96197399141315,0.11232503763488443,LOCALLY_SOLVED
25,170,model 2,0.0073324,0.9571343,3.521146909170947,261.4613737729146,0.14850959069787298,LOCALLY_SOLVED
25,170,model 3,0.008931,0.2603355,12.053875326889157,104.73862567195343,0.05761627944579671,LOCALLY_SOLVED
26,170,model 1,0.0275777,1.8655822,452.89344738803527,107692.95365217341,0.12578734842953584,LOCALLY_SOLVED
26,170,model 2,0.0082785,0.0587388,65225.63599517558,173184.59304916338,0.22733522960981822,LOCALLY_SOLVED
26,170,model 3,0.0077576,0.0966843,64297.268964189614,170189.22066234527,0.22337256831311744,LOCALLY_SOLVED
27,170,model 1,0.0259654,1.1787459,199.51216098496334,4667.093017878295,0.5458189966387694,LOCALLY_SOLVED
27,170,model 2,0.0082622,0.9091198,199.66182268359472,3618.8784180716957,0.4667631693199566,LOCALLY_SOLVED
27,170,model 3,0.0084399,0.9190804,202.23000688197484,5105.107938175019,0.6060451032681117,LOCALLY_SOLVED
28,170,model 1,0.0256008,0.0877562,50.266826457028344,47.51026347013729,0.17544335060069274,LOCALLY_SOLVED
28,170,model 2,0.0102305,0.7679594,9.235966672707354,220.89515826208077,0.8712827335613711,LOCALLY_SOLVED
28,170,model 3,0.0079277,1.1533196,9.257825935643076,49.95525713947416,0.1999036303822623,LOCALLY_SOLVED
29,170,model 1,0.0258864,1.2177579,202.19746544117663,13098.899165115869,0.0635716204329287,LOCALLY_SOLVED
29,170,model 2,0.0076443,0.4182269,405.9016524534692,28768.584002748466,0.1620695372229792,LOCALLY_SOLVED
29,170,model 3,0.0074957,0.4662654,275.65964121322645,10158.602703602051,0.06186438593276498,LOCALLY_SOLVED
30,170,model 1,0.0267879,13.0412052,6.762704979325859,171.17847049494824,0.06356175824543418,LOCALLY_SOLVED
30,170,model 2,0.0088124,0.9874386,6.799145922762661,154.32047332923275,0.055744991085940505,LOCALLY_SOLVED
30,170,model 3,0.0082111,1.380576,6.788545081757841,218.60321739805744,0.08001982740828688,LOCALLY_SOLVED
31,170,model 1,0.0291726,35.7123664,32.323810480442795,921.7682777374093,0.7227498625683797,LOCALLY_SOLVED
31,170,model 2,0.0077944,0.7505845,31.541620053966533,1408.4818754421642,1.1769217053260845,LOCALLY_SOLVED
31,170,model 3,0.0082212,0.8749313,31.67836259855458,1883.309552251978,1.5605052144103155,LOCALLY_SOLVED
32,170,model 1,0.0266571,20.3963552,28.022159019133532,912.6644174917172,0.5096877799312427,LOCALLY_SOLVED
32,170,model 2,0.0046005,0.4397871,19.44383967778378,572.3823920207876,0.30857957524149193,LOCALLY_SOLVED
32,170,model 3,0.004421,0.5879449,19.251133641707725,217.53356601717144,0.1242614884433292,LOCALLY_SOLVED
33,170,model 1,0.0155869,1.812569,0.7754407068774606,106.0673450661112,0.28034190464314784,NUMERICAL_ERROR
33,170,model 2,0.004711,6.7663656,0.8278605125397589,97.35099830287919,0.2606163715382707,LOCALLY_SOLVED
33,170,model 3,0.0062116,1.4180581,0.8269102638845739,96.39737444023044,0.25776674378698405,LOCALLY_SOLVED
34,170,model 1,0.013852,0.5679295,19.601163739446076,5943.587081593509,2.098634256758248,NUMERICAL_ERROR
34,170,model 2,0.0041946,66.4160408,9.482172820640402,1659.424690848145,0.6104952257196861,LOCALLY_SOLVED
34,170,model 3,0.0076551,1.2934891,9.478745243393911,1711.2720749962816,0.630192576484122,LOCALLY_SOLVED
35,170,model 1,0.0275035,10.7968361,0.13907927739328604,2.2740389280685545,0.0022333737847035923,LOCALLY_SOLVED
35,170,model 2,0.0078881,26.0879348,0.26929808942197975,7.141732853219243,0.006416513572363942,LOCALLY_SOLVED
35,170,model 3,0.0098844,16.7898044,1.4897141093179818,179.7817746583718,0.1705100083191297,LOCALLY_SOLVED
36,170,model 1,0.0156133,0.5226852,348.44061287614596,3428.314758860507,1.0880481254097387,LOCALLY_SOLVED
36,170,model 2,0.0049554,0.1675275,351.0625444872294,2812.484979169741,0.9469198664381442,LOCALLY_SOLVED
36,170,model 3,0.0048213,0.2717776,1347.3369394546196,331957.55067138316,107.77282537890085,LOCALLY_SOLVED
37,170,model 1,0.0180706,0.2757773,10.234931984630975,1086.97337467603,0.4885881939591691,LOCALLY_SOLVED
37,170,model 2,0.0055999,0.6711006,12.688771449939889,27.938047031872614,0.014602297565094123,LOCALLY_SOLVED
37,170,model 3,0.0041731,100.3694986,12.633679290925876,28.04206243486974,0.014581416843425347,LOCALLY_SOLVED
38,170,model 1,0.0160218,2.5902361,3.491413482675458,194.96197399141315,0.11232503763488443,LOCALLY_SOLVED
38,170,model 2,0.0049052,0.5775748,3.521146909170947,261.4613737729146,0.14850959069787298,LOCALLY_SOLVED
38,170,model 3,0.0055363,0.1512635,12.053875326889157,104.73862567195343,0.05761627944579671,LOCALLY_SOLVED
39,170,model 1,0.0399234,10.4576762,10.163608921806347,134.5400755086565,1.5131178027034236,LOCALLY_SOLVED
39,170,model 2,0.0053933,0.7163994,10.217831175915853,207.97276041796562,2.338596014863597,LOCALLY_SOLVED
39,170,model 3,0.0051196,0.534513,10.104056419025806,195.6060912853457,2.228199610034328,LOCALLY_SOLVED
40,170,model 1,0.0149295,6.5913196,0.07259637970647694,2.056937743955175,0.0014210368156312777,LOCALLY_SOLVED
40,170,model 2,0.0047042,1.5989746,0.468482765246571,14.282477232639756,0.009395677958434715,LOCALLY_SOLVED
40,170,model 3,0.0048115,1.3506566,0.4680365225532678,15.592279314177928,0.01019972630698069,LOCALLY_SOLVED
41,170,model 1,0.01449,182.259401,0.27192068067804553,32.03464199458793,0.018814580028968495,ITERATION_LIMIT
41,170,model 2,0.0064545,1.9002908,0.3442566001183067,8.886692454396064,0.005422421255692456,LOCALLY_SOLVED
41,170,model 3,0.0048631,7.2264381,0.18525177048940106,7.303864447533981,0.004710586263398904,LOCALLY_SOLVED
42,170,model 1,0.0136425,0.6833275,150.75404230435984,10703.069529107019,8.663687462356023,LOCALLY_SOLVED
42,170,model 2,0.0044775,0.3571397,151.1230669535169,2004.7839935517084,1.4635979946763225,LOCALLY_SOLVED
42,170,model 3,0.0045715,0.1971868,227.00878869726202,4073.8168397890718,3.4179850355775994,LOCALLY_SOLVED
43,170,model 1,0.0137024,15.0476654,5.09468636507095,147.31766348070482,0.14004440500655493,LOCALLY_SOLVED
43,170,model 2,0.0046165,0.5037211,5.11481850398106,160.6316523075527,0.1507114952378013,LOCALLY_SOLVED
43,170,model 3,0.0048021,0.2347044,31.35429018075243,1649.341087706589,1.5998945216159068,LOCALLY_SOLVED
44,170,model 1,0.0147864,0.5584396,11.478435286360474,200.75794915086297,0.07027628231167361,LOCALLY_SOLVED
44,170,model 2,0.0053186,0.1574435,18.571633660235133,879.2607619213965,0.3135360241741221,LOCALLY_SOLVED
44,170,model 3,0.0049272,0.810664,7.206229619085966,129.53014727014963,0.045901625682708044,LOCALLY_SOLVED
45,170,model 1,0.0137473,0.2323295,638.9427811960428,19925.990448933062,0.04538844883383848,LOCALLY_SOLVED
45,170,model 2,0.0051564,0.0282695,109576.83564833581,236973.59270743368,0.6328656510271303,LOCALLY_SOLVED
45,170,model 3,0.0044767,0.0344026,116850.72135516898,247511.09941859124,0.655610292044078,LOCALLY_SOLVED
46,170,model 1,0.0131053,44.4240232,3.4701484628377783,94.89269448176921,0.0673453141302718,LOCALLY_SOLVED
46,170,model 2,0.0051866,0.6555891,3.4845807445863937,91.07515921183962,0.06441063105970116,LOCALLY_SOLVED
46,170,model 3,0.0063065,1.000183,3.4819002039459237,80.69144961468864,0.05597577067743114,LOCALLY_SOLVED
47,170,model 1,0.0129347,0.1328676,6.020014248632787e7,1.0045693148227593e8,3.6298223719943206,LOCALLY_SOLVED
47,170,model 2,0.0048008,0.0040667,1.0639278820808348e8,1.7412737388398993e8,6.260162200878347,NORM_LIMIT
47,170,model 3,0.0046049,0.0046193,2.9865138534648736e-6,1.6727740694948736e8,6.085779791519907,NORM_LIMIT
48,170,model 1,0.0141347,0.7129938,0.3574746485618925,195.72740863904826,1.0603502052853981,NUMERICAL_ERROR
48,170,model 2,0.0045289,2.928675,0.4778265194833464,126.73401751072608,0.666593987961122,LOCALLY_SOLVED
48,170,model 3,0.0045844,227.7480669,0.4755411479706117,129.28811424390435,0.6818704995382527,LOCALLY_SOLVED
49,170,model 1,0.0149301,9.602127,0.021784194767631587,0.5627762047259216,0.0005564092503769823,NUMERICAL_ERROR
49,170,model 2,0.0049015,2.8082095,0.1157788689482738,3.6667961725663822,0.0033794502454372894,LOCALLY_SOLVED
49,170,model 3,0.0061057,7.9177668,0.18088006035770532,2.8459324252037033,0.0026632591160714123,LOCALLY_SOLVED
50,170,model 1,0.0156267,0.4188289,232.098133114576,47850.43176775848,0.2766120167171703,LOCALLY_SOLVED
50,170,model 2,0.0042154,0.0398268,44477.01136821752,25836.974855677203,0.13113082863275988,LOCALLY_SOLVED
50,170,model 3,0.0048922,0.048156,44090.28969955692,25651.03235841414,0.13082985252259016,LOCALLY_SOLVED
51,170,model 1,0.014777,0.2174973,351.24589140510915,107285.765711859,475.82280102077493,LOCALLY_SOLVED
51,170,model 2,0.0047909,0.452547,55.99627798402993,3113.784599898567,14.465904532910743,LOCALLY_SOLVED
51,170,model 3,0.0051904,274.8221055,46.69938274480752,690.7338713802034,3.343735548404566,ITERATION_LIMIT
52,170,model 1,0.0146374,10.9970717,0.11069209700227213,6.278718154806526,0.01093554156920592,LOCALLY_SOLVED
52,170,model 2,0.004825,202.1498229,0.3613554004542362,3.293525694879047,0.005924160395099682,LOCALLY_SOLVED
52,170,model 3,0.0046126,0.2637971,80.18560400190604,214.0583293422025,0.39444243926891137,LOCALLY_SOLVED
53,170,model 1,0.0152691,44.4875803,3.4701484628377783,94.89269448176921,0.0673453141302718,LOCALLY_SOLVED
53,170,model 2,0.0044455,0.6656035,3.4845807445863937,91.07515921183962,0.06441063105970116,LOCALLY_SOLVED
53,170,model 3,0.0065182,1.002427,3.4819002039459237,80.69144961468864,0.05597577067743114,LOCALLY_SOLVED
54,170,model 1,0.0138396,0.4869818,7261.340762027174,268728.84706178104,6.38331940652432,LOCALLY_SOLVED
54,170,model 2,0.0043713,0.0960882,87854.44923082435,97262.8588496067,1.9587952337266086,LOCALLY_SOLVED
54,170,model 3,0.0044865,0.0913588,60951.63445751367,84855.6467500115,1.7108653037680197,LOCALLY_SOLVED
55,170,model 1,0.0129219,0.5270349,3.583001081763066,143.45351358331266,0.05972657046408864,LOCALLY_SOLVED
55,170,model 2,0.004405,1.1867818,3.6651670456318515,176.5143249612288,0.0712411736415215,LOCALLY_SOLVED
55,170,model 3,0.0048904,0.7361655,3.5892041796741925,144.0678887015278,0.05989831009564834,LOCALLY_SOLVED
56,170,model 1,0.0140704,10.2394325,10.163608921806347,134.5400755086565,1.5131178027034236,LOCALLY_SOLVED
