Date,Value
2021-10-01,22229.45703125
2021-11-01,29324.34960938
2021-12-01,42730.2421875
2022-01-01,71393.6171875
2022-02-01,76408.1640625
2022-03-01,52551.96484375
2022-04-01,40557.43359375
2022-05-01,26960.34570313
2022-06-01,24224.9609375
2022-07-01,16810.39648438
2022-08-01,15855.53710938
2022-09-01,16114.25683594
2022-10-01,24561.88085938
2022-11-01,24616.359375
2022-12-01,42680.6953125
2023-01-01,77841.1796875
2023-02-01,73924.8828125
2023-03-01,71116.7578125
2023-04-01,55159.87890625
2023-05-01,36569.2578125
2023-06-01,30862.0390625
2023-07-01,22875.49414063
2023-08-01,18773.48632813
