Date,Value
2018-08-01,37393.42799531
2018-09-01,38124.45022688
2018-10-01,39316.56825131
2018-11-01,39103.29447088
2018-12-01,39815.59022126
2019-01-01,43247.21707816
2019-02-01,42050.71753999
2019-03-01,40575.48847922
2019-04-01,40439.05428076
2019-05-01,39077.84376043
2019-06-01,37203.97337117
2019-07-01,36486.91061681
2019-08-01,37097.10237597
2019-09-01,39420.26424121
2019-10-01,40730.10601884
2019-11-01,39652.84128525
2019-12-01,38742.72578577
2020-01-01,40803.10598225
2020-02-01,41094.84767078
2020-03-01,39830.76358284
2020-04-01,35355.94843476
2020-05-01,34600.66665095
2020-06-01,35768.34591166
2020-07-01,36673.94183045
2020-08-01,37439.58741803
2020-09-01,40811.54222384
2020-10-01,41493.9872521
2020-11-01,40061.31156811
2020-12-01,40770.94122716
2021-01-01,42107.40413546
2021-02-01,42336.83820741
2021-03-01,42491.49593848
2021-04-01,39701.23557651
2021-05-01,39123.40667618
2021-06-01,38224.78030914
2021-07-01,37048.45434621
2021-08-01,38572.31631535
2021-09-01,40777.36249017
2021-10-01,38994.29389129
2021-11-01,39935.98205697
2021-12-01,40155.93076668
2022-01-01,41489.80337143
2022-02-01,42875.04408296
2022-03-01,44684.96304724
2022-04-01,41693.10957706
2022-05-01,38909.55538232
2022-06-01,37862.94072222
2022-07-01,38367.82238523
2022-08-01,38527.32982854
2022-09-01,38914.10728969
2022-10-01,40165.24091447
2022-11-01,39196.92956177
2022-12-01,39008.37946053
2023-01-01,40419.27577456
2023-02-01,43029.63230602
2023-03-01,43688.79210519
2023-04-01,40279.18528364
2023-05-01,41246.68173003
2023-06-01,39917.91729483
