serie,time ESD,time ISD,rmse ESD,rmse ISD
1.0,1.418374,22.4288695,2.1944301998494018e-5,0.43827364186832074
2.0,1.2667751,11.3979464,2.2820407212113335e-5,0.455899982707466
3.0,11.252464,1.0262922,0.5458554048504142,0.45315148350424733
4.0,1.3130627,15.6857212,2.349316953799369e-5,0.46871547262131213
5.0,1.3039068,11.4190176,2.2433598913368085e-5,0.444995737271012
6.0,5.0629493,15.7657889,0.8039703177720219,0.4386161289872395
7.0,6.4509376,21.3015072,2.2888241247890136e-5,0.4542707928395861
8.0,1.3912526,17.2129594,0.45091379478593124,0.4369667865412227
9.0,1.9088023,6.1967567,0.5110802338003897,0.468645642479377
10.0,3.1099647,8.7092037,0.39854953602135423,0.4434369179526131
