serie,T,model,t create,t optim,rmse train,rmse test,mase test,status
1,170,model3_sm,-1,0.412516,156479.01278135937,56996.70142079263,0.6342503989246913,LOCALLY_SOLVED
2,170,model3_sm,-1,0.657944,579915.6834186182,1.6725614136473194e6,4.414225457489285,LOCALLY_SOLVED
3,170,model3_sm,-1,0.6472455,82259.99720068842,235427.73773431126,1.4994407999788077,LOCALLY_SOLVED
4,170,model3_sm,-1,0.5606505,4.896022521105227,88.56750891007272,0.23561065431697345,LOCALLY_SOLVED
5,170,model3_sm,-1,1.341896,648.3903129811943,823.698650319079,0.9190367146945481,LOCALLY_SOLVED
6,170,model3_sm,-1,0.3794908,2461.12284170275,2249.0523708226574,0.7164364693272338,LOCALLY_SOLVED
7,170,model3_sm,-1,0.3878409,2.5166337767700613e6,6.098595705959603e6,1.7232519669874873,LOCALLY_SOLVED
8,170,model3_sm,-1,0.524891,56.573284359277224,101.10956907705862,1.1006428783673259,LOCALLY_SOLVED
9,170,model3_sm,-1,0.3702543,845.2761563136945,4011.336422654826,1.2463150921229036,LOCALLY_SOLVED
10,170,model3_sm,-1,0.4366267,31.995245117622257,58.265377655661545,0.03039076663199076,LOCALLY_SOLVED
11,170,model3_sm,-1,0.0978691,279722.7319989914,313702.26146507333,0.847740116693384,LOCALLY_SOLVED
12,170,model3_sm,-1,0.2188379,88.14344750943107,381.14999494948074,0.20704761872201888,LOCALLY_SOLVED
13,170,model3_sm,-1,0.4248325,15.618285023869518,179.95172827053898,0.28788058679073997,LOCALLY_SOLVED
14,170,model3_sm,-1,0.3740563,10.499438086102028,39.76059827021577,0.20654310290762823,LOCALLY_SOLVED
15,170,model3_sm,-1,0.4487288,28.42835853707412,51.425322325822336,0.027669339536586967,LOCALLY_SOLVED
16,170,model3_sm,-1,0.1549869,6.104866070081298e6,7.898349430153868e6,1.9050518000039949,LOCALLY_SOLVED
17,170,model3_sm,-1,0.1072295,9206.001836281011,11387.812969382181,1.6357684283128477,LOCALLY_SOLVED
18,170,model3_sm,-1,0.1163415,111583.97274917964,192106.39923187788,2.7841620018963233,LOCALLY_SOLVED
19,170,model3_sm,-1,0.8961075,909825.7353108859,1.5851039002067274e6,2.3509262552171695,LOCALLY_SOLVED
20,170,model3_sm,-1,0.8542923,169.92892347384128,379.25915003702676,0.33897081067566476,LOCALLY_SOLVED
