serie,T,model,t create,t optim,rmse train,rmse test,mase test,status
1,170,model2_sm,-1,0.3437373,157226.55024636927,37763.78002285439,0.42684537906625825,LOCALLY_SOLVED
2,170,model2_sm,-1,0.4512176,506962.46804288623,1.8026509729607913e6,4.776133622593691,LOCALLY_SOLVED
3,170,model2_sm,-1,0.6156084,83253.55475342275,235448.07450149694,1.4995748749987736,LOCALLY_SOLVED
4,170,model2_sm,-1,69.7058048,0.024240175042849976,103.5293181938993,0.2761661812574098,LOCALLY_SOLVED
5,170,model2_sm,-1,4.301546,676.983385510113,992.5120331771247,1.0585310989026755,LOCALLY_SOLVED
6,170,model2_sm,-1,0.3194951,2466.293582598574,2248.4947112173286,0.7162566637585817,LOCALLY_SOLVED
7,170,model2_sm,-1,0.8293643,3.341521377562115e6,4.8070383395006815e6,1.3475406507529901,LOCALLY_SOLVED
8,170,model2_sm,-1,0.4298319,56.95738031426047,101.06101206180885,1.0997622977914536,LOCALLY_SOLVED
9,170,model2_sm,-1,1.8270353,870.7892432899233,4025.960691936901,1.2513251040229407,LOCALLY_SOLVED
10,170,model2_sm,-1,0.3481206,30.842772632926824,58.16075388190241,0.030337878448139535,LOCALLY_SOLVED
11,170,model2_sm,-1,0.2194051,274554.53680263483,312267.3548895006,0.8114962760237913,LOCALLY_SOLVED
12,170,model2_sm,-1,3.5340789,2157.9923625286924,30.122035932980715,0.015334930906126152,LOCALLY_SOLVED
13,170,model2_sm,-1,0.3566323,25.91441548550692,211.22624301356757,0.3354901531785251,LOCALLY_SOLVED
14,170,model2_sm,-1,0.4313446,6.235039395971672,39.751208838589235,0.20648668596308903,LOCALLY_SOLVED
15,170,model2_sm,-1,0.6020439,22.228218927670362,72.8979906847313,0.038415645444029124,LOCALLY_SOLVED
16,170,model2_sm,-1,0.1336498,6.206202256426468e6,7.9802524056516765e6,1.9248714985125281,LOCALLY_SOLVED
17,170,model2_sm,-1,0.0795766,9312.023148624137,11441.700233146339,1.6400041527830058,LOCALLY_SOLVED
18,170,model2_sm,-1,0.1043492,83873.02801786746,163258.4477373998,2.421848693400338,LOCALLY_SOLVED
19,170,model2_sm,-1,0.3807682,653990.1605609705,1.5982074396073283e6,2.370660867039117,LOCALLY_SOLVED
20,170,model2_sm,-1,0.5054874,172.85080682772423,379.19694444214275,0.33891616288922316,LOCALLY_SOLVED
21,170,model2_sm,-1,0.0837471,37660.62604065042,56555.3972316991,1.5265057412741467,LOCALLY_SOLVED
22,170,model2_sm,-1,0.7977439,0.0034972711798331164,2.2942523773043564,0.0021841864895009618,LOCALLY_SOLVED
23,170,model2_sm,-1,0.4472078,19.946861827402845,42.38506626985643,0.030038827920214582,LOCALLY_SOLVED
24,170,model2_sm,-1,68.8269116,0.024240175042849976,103.5293181938993,0.2761661812574098,LOCALLY_SOLVED
25,170,model2_sm,-1,0.5959547,22.228218927670362,72.8979906847313,0.038415645444029124,LOCALLY_SOLVED
26,170,model2_sm,-1,0.3840774,653990.1605609705,1.5982074396073283e6,2.370660867039117,LOCALLY_SOLVED
27,170,model2_sm,-1,0.6716948,5823.163814087758,9161.387098392712,1.25386429713537,LOCALLY_SOLVED
28,170,model2_sm,-1,0.6297525,54.99297757091382,44.2835046809402,0.17135124406932908,LOCALLY_SOLVED
29,170,model2_sm,-1,0.5801267,83253.55475342275,235448.07450149694,1.4995748749987736,LOCALLY_SOLVED
30,170,model2_sm,-1,0.5727296,40.16073817211075,40.15050284438068,0.01328442726514812,LOCALLY_SOLVED
31,170,model2_sm,-1,0.9356223,198.91759982954335,403.02973839754617,0.3039716798116991,LOCALLY_SOLVED
32,170,model2_sm,-1,0.3288907,366.85222506083,1598.4396653639324,0.9940075838277567,LOCALLY_SOLVED
33,170,model2_sm,-1,68.7042747,0.024240175042849976,103.5293181938993,0.2761661812574098,LOCALLY_SOLVED
34,170,model2_sm,-1,2.5352883,1443.146209395252,9327.565060634099,3.6551668184327006,LOCALLY_SOLVED
35,170,model2_sm,-1,0.9101261,0.00798736567385467,6.056803026430397,0.005352410261844925,LOCALLY_SOLVED
36,170,model2_sm,-1,0.326248,2466.293582598574,2248.4947112173286,0.7162566637585817,LOCALLY_SOLVED
37,170,model2_sm,-1,3.604919,2157.9923625286924,30.122035932980715,0.015334930906126152,LOCALLY_SOLVED
38,170,model2_sm,-1,0.6105966,22.228218927670362,72.8979906847313,0.038415645444029124,LOCALLY_SOLVED
39,170,model2_sm,-1,0.4267605,56.95738031426047,101.06101206180885,1.0997622977914536,LOCALLY_SOLVED
40,170,model2_sm,-1,2.2359089,0.014085362335727809,10.120319724646487,0.006714842478606855,LOCALLY_SOLVED
41,170,model2_sm,-1,1.6732465,0.00519888619884259,8.228034208731634,0.005138850504702375,LOCALLY_SOLVED
42,170,model2_sm,-1,0.6555636,1016.49031516789,976.1511610057894,0.706392914253897,LOCALLY_SOLVED
43,170,model2_sm,-1,1.6877152,1711.34030495449,140.61292538559485,0.12814452950072577,LOCALLY_SOLVED
44,170,model2_sm,-1,4.2699615,1097.1173134962385,159.68369632402488,0.05802196794906106,LOCALLY_SOLVED
45,170,model2_sm,-1,0.4403185,506962.46804288623,1.8026509729607913e6,4.776133622593691,LOCALLY_SOLVED
46,170,model2_sm,-1,0.4853319,19.946861827402845,42.38506626985643,0.030038827920214582,LOCALLY_SOLVED
47,170,model2_sm,-1,0.0312223,1.0639278820808348e8,1.6733426591827145e8,6.087799086362788,NORM_LIMIT
48,170,model2_sm,-1,0.5619914,0.017871515416317183,157.2684719451077,0.8446373736914348,LOCALLY_SOLVED
49,170,model2_sm,-1,0.7884452,0.0034972711798331164,2.2942523773043564,0.0021841864895009618,LOCALLY_SOLVED
50,170,model2_sm,-1,0.5650846,177378.52680617938,625171.7083398587,3.9383811020074617,LOCALLY_SOLVED
51,170,model2_sm,-1,1.3241647,223.9225935141127,238.7493823939542,0.9725435265769957,LOCALLY_SOLVED
52,170,model2_sm,-1,0.7881741,0.0070800327991540485,3.6085743628196374,0.00641363407588973,LOCALLY_SOLVED
53,170,model2_sm,-1,0.4668051,19.946861827402845,42.38506626985643,0.030038827920214582,LOCALLY_SOLVED
54,170,model2_sm,-1,0.0777923,63717.16623163955,77611.1107077401,1.7161298949280988,LOCALLY_SOLVED
55,170,model2_sm,-1,0.5513816,76.32252474995023,920.0219184721313,0.4632672582710656,LOCALLY_SOLVED
56,170,model2_sm,-1,0.4292267,56.95738031426047,101.06101206180885,1.0997622977914536,LOCALLY_SOLVED
57,170,model2_sm,-1,0.0726748,2.9868469652379412e7,3.4549380790304735e7,1.1112443434841603,LOCALLY_SOLVED
58,170,model2_sm,-1,0.134766,36584.23005881757,44068.77767062652,0.9481359391770505,LOCALLY_SOLVED
59,170,model2_sm,-1,0.8963618,171.57349548135363,271.04727532466035,0.17102027792149155,LOCALLY_SOLVED
60,170,model2_sm,-1,0.7479783,108.69734206564036,475.36333562662196,1.788398672408266,LOCALLY_SOLVED
61,170,model2_sm,-1,0.3153715,2466.293582598574,2248.4947112173286,0.7162566637585817,LOCALLY_SOLVED
62,170,model2_sm,-1,1.98103,209.1609817299328,361.2151773015383,0.1358532566849235,LOCALLY_SOLVED
63,170,model2_sm,-1,0.7798475,277.4546542370764,460.03362435533217,0.15672033899491467,LOCALLY_SOLVED
64,170,model2_sm,-1,0.0770268,63717.16623163955,77611.1107077401,1.7161298949280988,LOCALLY_SOLVED
65,170,model2_sm,-1,0.4118245,7860.714059986923,20490.159916008084,2.03916724794154,LOCALLY_SOLVED
66,170,model2_sm,-1,0.2744993,157226.55024636927,37763.78002285439,0.42684537906625825,LOCALLY_SOLVED
67,170,model2_sm,-1,0.6226504,54.99297757091382,44.2835046809402,0.17135124406932908,LOCALLY_SOLVED
68,170,model2_sm,-1,0.0679631,1.0452976114270195e7,4.264772979577194e6,0.17770311314555032,LOCALLY_SOLVED
69,170,model2_sm,-1,0.0698497,2.9868469652379412e7,3.4549380790304735e7,1.1112443434841603,LOCALLY_SOLVED
70,170,model2_sm,-1,2.516052,1443.146209395252,9327.565060634099,3.6551668184327006,LOCALLY_SOLVED
71,170,model2_sm,-1,0.1167472,131389.51222798508,269647.0949987158,2.5750086838273845,LOCALLY_SOLVED
72,170,model2_sm,-1,5.3276433,3711.20057220496,20075.172349529515,7.0740219675448675,LOCALLY_SOLVED
73,170,model2_sm,-1,0.0849345,63717.16623163955,77611.1107077401,1.7161298949280988,LOCALLY_SOLVED
74,170,model2_sm,-1,11.6455422,3307.614358868548,14609.222038169903,8.097548013582896,LOCALLY_SOLVED
75,170,model2_sm,-1,0.401591,653990.1605609705,1.5982074396073283e6,2.370660867039117,LOCALLY_SOLVED
76,170,model2_sm,-1,1.8515876,870.7892432899233,4025.960691936901,1.2513251040229407,LOCALLY_SOLVED
77,170,model2_sm,-1,3.548069,2157.9923625286924,30.122035932980715,0.015334930906126152,LOCALLY_SOLVED
78,170,model2_sm,-1,0.2636682,366.85222506083,1598.4396653639324,0.9940075838277567,LOCALLY_SOLVED
79,170,model2_sm,-1,4.3267502,3.5952091044684824,29.47699161574606,0.034154606239788256,LOCALLY_SOLVED
80,170,model2_sm,-1,2.2815098,843.2127106214901,1226.1974931297627,0.3475139297724179,LOCALLY_SOLVED
81,170,model2_sm,-1,68.9808433,0.024240175042849976,103.5293181938993,0.2761661812574098,LOCALLY_SOLVED
82,170,model2_sm,-1,0.4542769,6.578604004995751,135.20327531175693,0.05239048379065921,LOCALLY_SOLVED
83,170,model2_sm,-1,0.5359466,172.85080682772423,379.19694444214275,0.33891616288922316,LOCALLY_SOLVED
84,170,model2_sm,-1,2.2383901,843.2127106214901,1226.1974931297627,0.3475139297724179,LOCALLY_SOLVED
85,170,model2_sm,-1,6.1448682,2151.694069133334,3034.7702485485734,1.444307814470907,LOCALLY_SOLVED
86,170,model2_sm,-1,0.5513685,28.288147026390412,142.8066521044537,0.10541083342645169,LOCALLY_SOLVED
87,170,model2_sm,-1,0.0702646,1.26671964506817e6,1.8378674107352144e6,5.045633839752352,LOCALLY_SOLVED
88,170,model2_sm,-1,0.0621683,1.0452976114270195e7,4.264772979577194e6,0.17770311314555032,LOCALLY_SOLVED
89,170,model2_sm,-1,0.6717139,1016.49031516789,976.1511610057894,0.706392914253897,LOCALLY_SOLVED
90,170,model2_sm,-1,3.5206817,2157.9923625286924,30.122035932980715,0.015334930906126152,LOCALLY_SOLVED
91,170,model2_sm,-1,6.2084085,2151.694069133334,3034.7702485485734,1.444307814470907,LOCALLY_SOLVED
92,170,model2_sm,-1,4.2524366,676.983385510113,992.5120331771247,1.0585310989026755,LOCALLY_SOLVED
93,170,model2_sm,-1,0.5195975,28.288147026390412,142.8066521044537,0.10541083342645169,LOCALLY_SOLVED
94,170,model2_sm,-1,1.807633,870.7892432899233,4025.960691936901,1.2513251040229407,LOCALLY_SOLVED
95,170,model2_sm,-1,0.672255,54.99297757091382,44.2835046809402,0.17135124406932908,LOCALLY_SOLVED
96,170,model2_sm,-1,0.5078438,76.32252474995023,920.0219184721313,0.4632672582710656,LOCALLY_SOLVED
97,170,model2_sm,-1,68.7007408,0.024240175042849976,103.5293181938993,0.2761661812574098,LOCALLY_SOLVED
98,170,model2_sm,-1,0.5075082,76.32252474995023,920.0219184721313,0.4632672582710656,LOCALLY_SOLVED
99,170,model2_sm,-1,0.7143926,391.70196001549715,431.68020940373236,0.26783834345531815,LOCALLY_SOLVED
100,170,model2_sm,-1,0.3269039,488789.547893164,1.0093008731265954e6,2.197458285406613,LOCALLY_SOLVED
