serie,time ESD,time ISD,rmse ESD,rmse ISD
1.0,6.6883568,2.0216655,6.380002794339072e-5,0.9222968412648747
2.0,1.6879354,17.9699721,4.562690962529521e-5,0.910663443165398
3.0,1.6548552,10.5839181,4.530232366721896e-5,0.9058393087830285
4.0,2.1736611,4.198669,4.578424237734118e-5,0.915303123372173
5.0,1.4007478,5.4636742,4.4714278868750926e-5,0.8923804662084024
6.0,1.3364718,12.5890504,4.443142660182911e-5,0.8871914177850397
7.0,0.9888008,25.7484398,4.4499955070648194e-5,0.8894952632593167
8.0,0.7631246,9.0494753,6.421638848568367e-5,0.8694811757671
9.0,3.9588784,36.2062346,25.143475133315,0.8946791989051693
10.0,2.0363996,12.0590817,4.488308371036939e-5,0.8951463070439525
