serie,time ESD,time ISD,rmse ESD,rmse ISD
1.0,0.533125,8.1524847,2.834311530431189e-5,0.3946238805569117
2.0,0.6346233,21.4541805,4.9442798777394664e-5,0.3757854953637897
3.0,1.0120776,23.2920691,2.2686390068520083e-5,0.44821626038967377
4.0,1.8151741,8.7335708,0.332098327656589,0.40442235161817136
5.0,0.5863417,1.7214213,4.842989543028462e-5,0.40703472984064515
6.0,0.7136453,13.4722005,3.25037732681553e-5,0.4079397858768169
7.0,1.2385507,8.3109712,2.2142336497935282e-5,0.43416523030893966
8.0,1.3225169,31.855461,5.706450532718599e-5,0.38782089776363293
9.0,1.1877557,5.3214792,2.0520054735710698e-5,0.3998453314697471
10.0,1.0827914,33.2167722,2.102725208563607e-5,7.847982748228627
